state,district,office,year,target
alaska,1,state house,2016,1
alaska,2,state house,2016,0
alaska,3,state house,2016,0
alaska,4,state house,2016,1
alaska,5,state house,2016,1
alaska,6,state house,2016,0
alaska,7,state house,2016,0
alaska,8,state house,2016,0
alaska,9,state house,2016,0
alaska,10,state house,2016,0
alaska,11,state house,2016,0
alaska,12,state house,2016,0
alaska,13,state house,2016,0
alaska,14,state house,2016,0
alaska,15,state house,2016,0
alaska,16,state house,2016,1
alaska,17,state house,2016,1
alaska,18,state house,2016,1
alaska,19,state house,2016,1
alaska,20,state house,2016,1
alaska,21,state house,2016,1
alaska,22,state house,2016,0
alaska,23,state house,2016,1
alaska,24,state house,2016,0
alaska,25,state house,2016,0
alaska,26,state house,2016,0
alaska,27,state house,2016,0
alaska,28,state house,2016,0
alaska,29,state house,2016,0
alaska,30,state house,2016,0
alaska,31,state house,2016,0
alaska,32,state house,2016,0
alaska,33,state house,2016,1
alaska,34,state house,2016,1
alaska,35,state house,2016,1
alaska,36,state house,2016,0
alaska,37,state house,2016,1
alaska,38,state house,2016,1
alaska,39,state house,2016,1
alaska,40,state house,2016,1
california,15,state house,2016,1
california,18,state house,2016,1
california,20,state house,2016,1
california,16,state house,2016,0
california,25,state house,2016,1
california,5,state house,2016,0
california,3,state house,2016,0
california,1,state house,2016,0
california,4,state house,2016,1
california,14,state house,2016,1
california,11,state house,2016,1
california,2,state house,2016,1
california,6,state house,2016,0
california,31,state house,2016,1
california,23,state house,2016,0
california,56,state house,2016,1
california,26,state house,2016,0
california,34,state house,2016,0
california,32,state house,2016,1
california,36,state house,2016,0
california,45,state house,2016,1
california,50,state house,2016,1
california,38,state house,2016,0
california,49,state house,2016,1
california,62,state house,2016,1
california,41,state house,2016,1
california,58,state house,2016,1
california,64,state house,2016,1
california,70,state house,2016,1
california,57,state house,2016,1
california,48,state house,2016,1
california,63,state house,2016,1
california,51,state house,2016,1
california,43,state house,2016,1
california,54,state house,2016,1
california,55,state house,2016,0
california,66,state house,2016,1
california,59,state house,2016,1
california,53,state house,2016,1
california,52,state house,2016,1
california,39,state house,2016,1
california,44,state house,2016,1
california,46,state house,2016,1
california,10,state house,2016,1
california,21,state house,2016,1
california,30,state house,2016,1
california,29,state house,2016,1
california,69,state house,2016,1
california,68,state house,2016,0
california,65,state house,2016,1
california,74,state house,2016,0
california,72,state house,2016,0
california,73,state house,2016,0
california,42,state house,2016,0
california,60,state house,2016,1
california,67,state house,2016,0
california,75,state house,2016,0
california,61,state house,2016,1
california,71,state house,2016,0
california,7,state house,2016,1
california,8,state house,2016,1
california,9,state house,2016,1
california,33,state house,2016,0
california,47,state house,2016,1
california,40,state house,2016,0
california,79,state house,2016,1
california,78,state house,2016,1
california,80,state house,2016,1
california,76,state house,2016,0
california,77,state house,2016,0
california,19,state house,2016,1
california,17,state house,2016,1
california,13,state house,2016,1
california,12,state house,2016,0
california,35,state house,2016,0
california,22,state house,2016,1
california,24,state house,2016,1
california,37,state house,2016,1
california,28,state house,2016,1
california,27,state house,2016,1
colorado,30,state house,2016,1
colorado,31,state house,2016,1
colorado,32,state house,2016,1
colorado,34,state house,2016,1
colorado,35,state house,2016,1
colorado,56,state house,2016,0
colorado,62,state house,2016,1
colorado,3,state house,2016,1
colorado,38,state house,2016,0
colorado,9,state house,2016,1
colorado,36,state house,2016,1
colorado,40,state house,2016,1
colorado,41,state house,2016,1
colorado,37,state house,2016,0
colorado,42,state house,2016,1
colorado,59,state house,2016,1
colorado,64,state house,2016,0
colorado,13,state house,2016,1
colorado,33,state house,2016,1
colorado,12,state house,2016,1
colorado,10,state house,2016,1
colorado,11,state house,2016,1
colorado,60,state house,2016,0
colorado,65,state house,2016,0
colorado,54,state house,2016,0
colorado,61,state house,2016,1
colorado,1,state house,2016,1
colorado,2,state house,2016,1
colorado,5,state house,2016,1
colorado,6,state house,2016,1
colorado,8,state house,2016,1
colorado,7,state house,2016,1
colorado,4,state house,2016,1
colorado,58,state house,2016,0
colorado,39,state house,2016,0
colorado,44,state house,2016,0
colorado,45,state house,2016,0
colorado,43,state house,2016,0
colorado,26,state house,2016,1
colorado,18,state house,2016,1
colorado,19,state house,2016,0
colorado,20,state house,2016,0
colorado,21,state house,2016,0
colorado,14,state house,2016,0
colorado,15,state house,2016,0
colorado,16,state house,2016,0
colorado,17,state house,2016,1
colorado,47,state house,2016,0
colorado,57,state house,2016,0
colorado,24,state house,2016,1
colorado,25,state house,2016,0
colorado,27,state house,2016,0
colorado,29,state house,2016,1
colorado,23,state house,2016,1
colorado,28,state house,2016,1
colorado,22,state house,2016,0
colorado,53,state house,2016,1
colorado,52,state house,2016,1
colorado,49,state house,2016,0
colorado,51,state house,2016,0
colorado,55,state house,2016,0
colorado,46,state house,2016,1
colorado,48,state house,2016,0
colorado,63,state house,2016,0
colorado,50,state house,2016,1
connecticut,112,state house,2016,0
connecticut,146,state house,2016,1
connecticut,144,state house,2016,1
connecticut,148,state house,2016,1
connecticut,147,state house,2016,1
connecticut,145,state house,2016,1
connecticut,149,state house,2016,0
connecticut,2,state house,2016,0
connecticut,107,state house,2016,0
connecticut,138,state house,2016,0
connecticut,110,state house,2016,1
connecticut,109,state house,2016,1
connecticut,108,state house,2016,0
connecticut,106,state house,2016,0
connecticut,135,state house,2016,0
connecticut,124,state house,2016,1
connecticut,126,state house,2016,1
connecticut,130,state house,2016,1
connecticut,129,state house,2016,1
connecticut,127,state house,2016,1
connecticut,128,state house,2016,1
connecticut,151,state house,2016,0
connecticut,150,state house,2016,0
connecticut,141,state house,2016,0
connecticut,134,state house,2016,0
connecticut,132,state house,2016,0
connecticut,133,state house,2016,1
connecticut,125,state house,2016,0
connecticut,142,state house,2016,0
connecticut,140,state house,2016,1
connecticut,137,state house,2016,1
connecticut,143,state house,2016,0
connecticut,111,state house,2016,0
connecticut,113,state house,2016,0
connecticut,122,state house,2016,0
connecticut,120,state house,2016,0
connecticut,121,state house,2016,1
connecticut,123,state house,2016,0
connecticut,136,state house,2016,1
connecticut,83,state house,2016,1
connecticut,30,state house,2016,0
connecticut,17,state house,2016,0
connecticut,19,state house,2016,1
connecticut,76,state house,2016,0
connecticut,21,state house,2016,1
connecticut,25,state house,2016,1
connecticut,22,state house,2016,0
connecticut,24,state house,2016,1
connecticut,26,state house,2016,1
connecticut,16,state house,2016,1
connecticut,58,state house,2016,0
connecticut,59,state house,2016,0
connecticut,14,state house,2016,0
connecticut,11,state house,2016,1
connecticut,4,state house,2016,1
connecticut,6,state house,2016,1
connecticut,3,state house,2016,1
connecticut,7,state house,2016,1
connecticut,1,state house,2016,1
connecticut,5,state house,2016,1
connecticut,81,state house,2016,0
connecticut,80,state house,2016,0
connecticut,103,state house,2016,1
connecticut,15,state house,2016,1
connecticut,60,state house,2016,0
connecticut,61,state house,2016,0
connecticut,18,state house,2016,1
connecticut,20,state house,2016,1
connecticut,28,state house,2016,1
connecticut,29,state house,2016,1
connecticut,77,state house,2016,0
connecticut,78,state house,2016,0
connecticut,79,state house,2016,1
connecticut,10,state house,2016,1
connecticut,9,state house,2016,1
connecticut,57,state house,2016,0
connecticut,13,state house,2016,0
connecticut,31,state house,2016,0
connecticut,62,state house,2016,0
connecticut,12,state house,2016,1
connecticut,55,state house,2016,0
connecticut,27,state house,2016,0
connecticut,69,state house,2016,0
connecticut,66,state house,2016,0
connecticut,64,state house,2016,0
connecticut,63,state house,2016,0
connecticut,67,state house,2016,0
connecticut,65,state house,2016,0
connecticut,68,state house,2016,0
connecticut,82,state house,2016,1
connecticut,35,state house,2016,0
connecticut,23,state house,2016,0
connecticut,33,state house,2016,1
connecticut,100,state house,2016,1
connecticut,86,state house,2016,0
connecticut,101,state house,2016,0
connecticut,36,state house,2016,1
connecticut,34,state house,2016,0
connecticut,32,state house,2016,0
connecticut,117,state house,2016,0
connecticut,119,state house,2016,0
connecticut,114,state house,2016,0
connecticut,84,state house,2016,1
connecticut,90,state house,2016,0
connecticut,89,state house,2016,0
connecticut,71,state house,2016,0
connecticut,131,state house,2016,0
connecticut,73,state house,2016,1
connecticut,74,state house,2016,0
connecticut,72,state house,2016,1
connecticut,75,state house,2016,1
connecticut,91,state house,2016,1
connecticut,94,state house,2016,1
connecticut,88,state house,2016,1
connecticut,99,state house,2016,0
connecticut,96,state house,2016,1
connecticut,87,state house,2016,0
