district,under 20,20 to 34,35 to 49,50 to 64,65 and over,median age,state
1,22.88,29.77,15.23,15.83,16.3,32.9,alaska
2,30.45,41.6,13.69,10.26,4.01,24.8,alaska
3,29.95,24.16,21.54,15.73,8.62,31.5,alaska
4,24.99,19.05,17.24,23.55,15.16,39.0,alaska
5,25.22,27.15,20.11,16.69,10.82,34.0,alaska
6,26.27,25.37,18.46,19.41,10.49,33.7,alaska
7,27.01,20.91,18.94,19.17,13.96,35.9,alaska
8,28.2,21.62,19.69,19.82,10.67,35.2,alaska
9,27.28,17.83,20.06,21.57,13.26,38.2,alaska
10,29.6,19.44,19.16,20.72,11.07,35.5,alaska
11,31.05,21.6,18.8,17.26,11.28,33.1,alaska
12,29.74,18.68,18.25,21.48,11.86,36.6,alaska
13,33.42,32.93,15.41,11.6,6.63,26.7,alaska
14,28.41,20.07,20.75,20.83,9.94,36.0,alaska
15,30.72,35.53,14.75,11.2,7.8,26.0,alaska
16,29.0,27.85,19.5,15.33,8.33,31.5,alaska
17,24.32,29.98,18.89,15.26,11.56,32.9,alaska
18,19.34,25.27,18.61,23.47,13.3,38.5,alaska
19,37.71,22.19,17.9,14.52,7.69,28.8,alaska
20,16.47,29.73,19.84,17.38,16.57,37.2,alaska
21,23.5,23.21,19.31,20.42,13.57,37.8,alaska
22,28.76,25.8,21.58,15.71,8.15,31.9,alaska
23,25.05,25.81,18.7,20.36,10.09,34.2,alaska
24,26.72,19.47,20.35,20.24,13.23,37.6,alaska
25,26.38,26.93,20.17,18.49,8.02,33.0,alaska
26,26.14,20.02,22.1,19.7,12.05,36.9,alaska
27,21.76,21.49,19.31,21.08,16.37,38.9,alaska
28,23.23,14.85,21.87,24.34,15.71,43.3,alaska
29,23.6,17.2,18.69,21.47,19.05,43.7,alaska
30,26.31,19.3,18.43,21.17,14.78,37.8,alaska
31,24.3,17.11,16.51,23.18,18.89,42.8,alaska
32,26.69,22.67,19.62,19.65,11.37,35.5,alaska
33,22.79,21.01,20.02,20.57,15.62,39.7,alaska
34,25.05,19.99,20.72,21.02,13.22,38.3,alaska
35,21.66,17.49,18.73,22.92,19.2,43.5,alaska
36,24.0,19.32,18.25,22.1,16.33,40.4,alaska
37,24.59,21.47,21.31,22.44,10.19,37.2,alaska
38,38.97,22.61,15.58,15.57,7.27,27.9,alaska
39,39.32,22.49,15.29,15.53,7.37,27.2,alaska
40,32.28,23.33,17.71,18.77,7.9,31.2,alaska
1,24.65,21.39,18.18,19.04,16.74,39.6,arkansas
2,28.33,19.54,18.27,17.59,16.27,35.9,arkansas
3,27.18,15.56,19.1,19.25,18.91,41.3,arkansas
4,27.97,16.95,19.46,18.41,17.21,39.2,arkansas
5,24.24,16.98,15.1,23.23,20.45,44.6,arkansas
6,25.23,17.99,17.45,19.61,19.72,41.0,arkansas
7,25.1,17.58,17.92,21.81,17.58,43.2,arkansas
8,26.31,15.85,17.75,19.52,20.57,40.8,arkansas
9,26.9,19.68,17.33,18.81,17.28,38.8,arkansas
10,22.64,16.6,17.55,20.72,22.48,45.1,arkansas
11,26.69,15.9,16.47,20.94,20.0,42.4,arkansas
12,22.12,21.21,19.54,20.14,17.0,39.4,arkansas
13,24.94,16.34,18.65,20.58,19.49,42.0,arkansas
14,21.66,19.79,18.87,21.54,18.14,42.2,arkansas
15,25.81,16.48,17.96,21.28,18.47,41.8,arkansas
16,24.88,17.2,14.48,21.44,22.0,42.7,arkansas
17,27.83,23.17,18.76,18.71,11.53,34.5,arkansas
18,24.39,22.73,15.06,18.47,19.36,37.8,arkansas
19,26.38,16.54,18.94,19.81,18.32,40.7,arkansas
20,23.15,15.17,16.13,20.91,24.63,45.9,arkansas
21,24.31,15.75,17.02,23.72,19.2,44.1,arkansas
22,17.11,13.18,13.53,19.03,37.15,55.5,arkansas
23,25.03,17.8,19.3,19.75,18.12,40.4,arkansas
24,24.62,16.8,17.49,18.04,23.04,40.3,arkansas
25,24.98,18.35,17.86,21.01,17.8,40.2,arkansas
26,20.73,18.82,19.48,22.28,18.69,42.4,arkansas
27,28.28,16.74,21.67,19.65,13.67,37.8,arkansas
28,25.25,21.27,20.64,17.49,15.34,37.1,arkansas
29,31.21,20.51,21.0,17.22,10.06,34.1,arkansas
30,27.92,20.67,19.5,17.81,14.1,36.4,arkansas
31,25.96,16.81,19.53,21.22,16.48,40.7,arkansas
32,25.73,19.2,20.23,17.31,17.53,39.0,arkansas
33,16.78,27.45,19.74,19.57,16.46,38.9,arkansas
34,24.06,24.57,19.09,18.62,13.66,36.2,arkansas
35,23.06,22.74,17.43,20.35,16.43,38.5,arkansas
36,28.55,19.55,19.16,18.88,13.86,36.4,arkansas
37,28.41,23.11,16.34,17.59,14.55,34.1,arkansas
38,23.98,20.95,17.33,17.52,20.22,38.5,arkansas
39,24.14,18.66,22.65,19.48,15.07,40.3,arkansas
40,24.04,17.71,19.16,22.74,16.34,41.1,arkansas
41,27.45,18.36,18.67,19.16,16.37,37.6,arkansas
42,26.43,27.21,17.0,16.53,12.83,33.4,arkansas
43,28.11,20.17,20.47,18.89,12.36,36.1,arkansas
44,30.16,18.26,20.32,18.25,13.02,36.1,arkansas
45,24.29,18.82,21.47,20.2,15.23,40.4,arkansas
46,30.2,24.5,14.05,16.04,15.22,31.6,arkansas
47,21.99,18.41,19.14,20.82,19.64,42.2,arkansas
48,21.76,22.45,21.98,18.03,15.78,39.2,arkansas
49,26.48,16.14,17.47,20.59,19.32,41.1,arkansas
50,29.98,17.52,17.64,20.12,14.74,37.1,arkansas
51,27.94,21.6,17.69,17.88,14.88,35.3,arkansas
52,27.18,18.74,18.91,19.02,16.15,37.6,arkansas
53,26.76,25.52,16.89,17.02,13.81,33.8,arkansas
54,26.79,18.92,17.26,19.95,17.07,38.8,arkansas
55,29.98,18.84,18.06,19.07,14.05,36.3,arkansas
56,23.53,16.7,17.42,20.32,22.02,43.5,arkansas
57,27.14,21.8,19.43,17.32,14.31,35.7,arkansas
58,27.05,21.75,19.59,15.38,16.23,35.8,arkansas
59,31.34,22.08,18.88,16.85,10.86,32.8,arkansas
60,24.62,16.48,17.0,21.42,20.49,43.4,arkansas
61,24.38,15.5,15.89,19.89,24.34,44.9,arkansas
62,21.16,14.64,17.5,21.59,25.1,47.8,arkansas
63,26.41,18.78,18.04,19.18,17.59,38.8,arkansas
64,19.01,12.02,15.07,26.46,27.44,52.7,arkansas
65,24.71,16.51,17.65,21.83,19.3,43.3,arkansas
66,22.91,17.87,16.39,20.49,22.35,43.0,arkansas
67,31.19,18.64,20.92,17.75,11.51,35.1,arkansas
68,23.95,16.0,17.99,21.59,20.46,43.5,arkansas
69,26.17,18.08,17.7,20.45,17.6,39.9,arkansas
70,25.99,31.53,17.62,14.11,10.75,29.1,arkansas
71,31.22,27.57,14.93,14.24,12.04,27.9,arkansas
72,24.02,31.96,16.08,15.44,12.5,31.5,arkansas
73,26.86,16.63,19.76,19.18,17.57,40.0,arkansas
74,24.55,16.52,17.43,21.39,20.11,43.2,arkansas
