district,earnings $1 - $24'999,earnings $25'000 - 49'999,earnings $50'000 - 74'999,earnings $75'000 or more,state,median earnings
1,0.1348,0.394,0.2271,0.2441,alaska,35647
2,0.2156,0.3546,0.2046,0.2252,alaska,32057
3,0.0983,0.2734,0.3367,0.2916,alaska,47045
4,0.077,0.2266,0.2342,0.4621,alaska,47263
5,0.078,0.2609,0.2796,0.3815,alaska,41393
6,0.1928,0.3546,0.1976,0.255,alaska,32075
7,0.1422,0.3187,0.2398,0.2992,alaska,37729
8,0.1075,0.2443,0.2974,0.3507,alaska,41975
9,0.0923,0.2404,0.2669,0.4005,alaska,42906
10,0.1429,0.2924,0.2682,0.2965,alaska,35590
11,0.1079,0.2902,0.2611,0.3408,alaska,39983
12,0.0874,0.2319,0.2518,0.4289,alaska,48407
13,0.1836,0.3425,0.2093,0.2646,alaska,36133
14,0.0261,0.2504,0.2587,0.4648,alaska,57463
15,0.2084,0.4193,0.2564,0.1159,alaska,30654
16,0.076,0.3759,0.2833,0.2647,alaska,40918
17,0.1393,0.3528,0.2539,0.254,alaska,39157
18,0.1092,0.3554,0.2659,0.2696,alaska,38558
19,0.1897,0.4646,0.1954,0.1503,alaska,30898
20,0.11,0.3392,0.224,0.3269,alaska,37327
21,0.0705,0.248,0.2768,0.4046,alaska,51313
22,0.0934,0.3218,0.2309,0.3539,alaska,41856
23,0.1334,0.3166,0.2734,0.2766,alaska,41718
24,0.0779,0.229,0.214,0.4791,alaska,57676
25,0.129,0.263,0.2655,0.3425,alaska,44634
26,0.0789,0.1768,0.2622,0.4821,alaska,52944
27,0.0867,0.2417,0.3709,0.3008,alaska,47045
28,0.0624,0.1215,0.1708,0.6453,alaska,70546
29,0.0932,0.2882,0.2448,0.3738,alaska,37134
30,0.1377,0.3111,0.2465,0.3047,alaska,39550
31,0.12,0.2816,0.2983,0.3001,alaska,37905
32,0.2181,0.2851,0.2623,0.2345,alaska,32863
33,0.1127,0.3112,0.259,0.3171,alaska,39857
34,0.0754,0.2783,0.2704,0.3759,alaska,50644
35,0.0957,0.3597,0.2835,0.2611,alaska,37162
36,0.1209,0.3575,0.2719,0.2497,alaska,39473
37,0.156,0.31,0.2554,0.2786,alaska,35810
38,0.121,0.2916,0.3203,0.2671,alaska,25251
39,0.1682,0.2927,0.2431,0.296,alaska,24197
40,0.1069,0.2073,0.2669,0.4189,alaska,49828
1,0.2813,0.3712,0.1983,0.1491,arkansas,28198
2,0.2194,0.3951,0.2286,0.1569,arkansas,30338
3,0.3004,0.4335,0.1844,0.0818,arkansas,28342
4,0.2513,0.3861,0.2117,0.1509,arkansas,29693
5,0.2826,0.4186,0.1827,0.1162,arkansas,26160
