district,less than highschool,highschool,college or associate,bachelor or higher,state
1,0.1055,0.3204,0.383,0.1911,alaska
2,0.05,0.3044,0.4334,0.2122,alaska
3,0.0589,0.2771,0.4483,0.2158,alaska
4,0.0462,0.1403,0.3673,0.4461,alaska
5,0.0534,0.1915,0.4128,0.3423,alaska
6,0.091,0.2814,0.3915,0.2361,alaska
7,0.0943,0.3384,0.4172,0.1502,alaska
8,0.1168,0.3731,0.3864,0.1237,alaska
9,0.0815,0.3158,0.3747,0.228,alaska
10,0.0977,0.3487,0.3693,0.1842,alaska
11,0.0678,0.2959,0.3986,0.2376,alaska
12,0.0534,0.3127,0.383,0.2509,alaska
13,0.0565,0.2805,0.4281,0.2349,alaska
14,0.0484,0.1961,0.3595,0.396,alaska
15,0.0616,0.3223,0.4619,0.1542,alaska
16,0.0737,0.255,0.3759,0.2954,alaska
17,0.0892,0.2468,0.4018,0.2622,alaska
18,0.1048,0.2932,0.3243,0.2776,alaska
19,0.1831,0.35,0.3044,0.1625,alaska
20,0.1041,0.2447,0.3421,0.309,alaska
21,0.0617,0.2506,0.3686,0.3191,alaska
22,0.0557,0.2407,0.3744,0.3291,alaska
23,0.1045,0.3044,0.3706,0.2205,alaska
24,0.06,0.22,0.3587,0.3613,alaska
25,0.0982,0.2337,0.3653,0.3028,alaska
26,0.0436,0.2714,0.3607,0.3243,alaska
27,0.0627,0.2666,0.3519,0.3187,alaska
28,0.0403,0.1374,0.283,0.5393,alaska
29,0.0873,0.38,0.3547,0.178,alaska
30,0.0978,0.3144,0.3694,0.2184,alaska
31,0.0761,0.2822,0.3802,0.2615,alaska
32,0.0903,0.303,0.3728,0.234,alaska
33,0.0632,0.2413,0.314,0.3816,alaska
34,0.0462,0.2452,0.3799,0.3287,alaska
35,0.0916,0.3299,0.3312,0.2472,alaska
36,0.0994,0.3421,0.359,0.1995,alaska
37,0.1405,0.417,0.3071,0.1354,alaska
38,0.2252,0.4536,0.2258,0.0954,alaska
39,0.1872,0.4761,0.2447,0.092,alaska
40,0.1647,0.4243,0.2976,0.1134,alaska
1,0.1528,0.3717,0.3325,0.143,arkansas
2,0.1393,0.3714,0.3336,0.1557,arkansas
3,0.2068,0.4043,0.2671,0.1217,arkansas
4,0.2281,0.3659,0.3238,0.0823,arkansas
5,0.1817,0.4348,0.254,0.1295,arkansas
6,0.1172,0.3661,0.3249,0.1919,arkansas
7,0.1837,0.3768,0.2775,0.162,arkansas
8,0.1722,0.439,0.2576,0.1312,arkansas
9,0.1592,0.3665,0.3268,0.1475,arkansas
10,0.1497,0.4154,0.2832,0.1518,arkansas
11,0.2205,0.4059,0.2567,0.1169,arkansas
12,0.2353,0.3793,0.293,0.0924,arkansas
13,0.1763,0.4205,0.2847,0.1184,arkansas
14,0.1653,0.4118,0.2786,0.1443,arkansas
15,0.1097,0.391,0.3197,0.1796,arkansas
16,0.1456,0.3649,0.3072,0.1822,arkansas
17,0.1769,0.3765,0.3405,0.1061,arkansas
18,0.1169,0.2907,0.4216,0.1708,arkansas
19,0.1864,0.3447,0.3148,0.154,arkansas
20,0.1806,0.3616,0.3356,0.1222,arkansas
21,0.1818,0.3935,0.3141,0.1106,arkansas
22,0.0953,0.3056,0.3641,0.235,arkansas
23,0.0758,0.3096,0.3352,0.2794,arkansas
24,0.0988,0.3077,0.3896,0.204,arkansas
25,0.1599,0.3112,0.3371,0.1918,arkansas
26,0.1288,0.3909,0.3275,0.1528,arkansas
27,0.1293,0.3679,0.335,0.1678,arkansas
28,0.1495,0.3536,0.3197,0.1772,arkansas
29,0.1944,0.3559,0.3293,0.1204,arkansas
30,0.1125,0.2979,0.3302,0.2593,arkansas
31,0.0859,0.2557,0.2891,0.3693,arkansas
32,0.0442,0.1194,0.2689,0.5675,arkansas
33,0.0711,0.1812,0.3009,0.4467,arkansas
34,0.115,0.2908,0.3354,0.2588,arkansas
35,0.0423,0.1878,0.2633,0.5066,arkansas
36,0.1871,0.387,0.3015,0.1243,arkansas
37,0.2051,0.338,0.2902,0.1667,arkansas
38,0.0663,0.2549,0.3367,0.3421,arkansas
39,0.0854,0.2378,0.3325,0.3443,arkansas
40,0.1313,0.3723,0.3261,0.1703,arkansas
41,0.0714,0.3133,0.3339,0.2813,arkansas
42,0.0997,0.346,0.393,0.1613,arkansas
43,0.0978,0.2982,0.3977,0.2063,arkansas
44,0.1242,0.3729,0.327,0.1759,arkansas
45,0.1863,0.3936,0.2771,0.143,arkansas
46,0.0984,0.2771,0.3911,0.2335,arkansas
47,0.2239,0.4451,0.2404,0.0906,arkansas
48,0.2483,0.39,0.2895,0.0722,arkansas
49,0.1902,0.4108,0.2701,0.1289,arkansas
50,0.2433,0.4085,0.2329,0.1153,arkansas
51,0.1337,0.3416,0.3355,0.1892,arkansas
52,0.1728,0.3992,0.3077,0.1203,arkansas
53,0.1148,0.3774,0.3185,0.1894,arkansas
54,0.1927,0.3748,0.2981,0.1344,arkansas
55,0.2103,0.3837,0.3144,0.0916,arkansas
56,0.1881,0.4388,0.2649,0.1082,arkansas
57,0.1471,0.4102,0.2849,0.1577,arkansas
58,0.0781,0.2531,0.3458,0.3229,arkansas
59,0.1584,0.3717,0.2916,0.1782,arkansas
60,0.1843,0.4116,0.285,0.119,arkansas
61,0.1388,0.406,0.3313,0.1239,arkansas
62,0.1968,0.387,0.3165,0.0997,arkansas
63,0.1507,0.3476,0.3257,0.176,arkansas
64,0.1781,0.3804,0.2937,0.1477,arkansas
65,0.1576,0.4228,0.2739,0.1457,arkansas
66,0.1548,0.4099,0.2972,0.1381,arkansas
67,0.0771,0.3256,0.3498,0.2474,arkansas
68,0.1456,0.3972,0.2863,0.1709,arkansas
69,0.1998,0.4213,0.2254,0.1535,arkansas
70,0.0564,0.1953,0.4026,0.3457,arkansas
71,0.1378,0.26,0.4001,0.2021,arkansas
72,0.0855,0.2975,0.3852,0.2318,arkansas
73,0.2004,0.4021,0.2631,0.1345,arkansas
74,0.1647,0.4249,0.2857,0.1248,arkansas
75,0.1227,0.3679,0.3592,0.1501,arkansas
