district,less than highschool,highschool,college or associate,bachelor or higher,state
1,0.0818,0.3062,0.3811,0.2309,alaska
2,0.0373,0.3659,0.4154,0.1814,alaska
3,0.0817,0.2525,0.4291,0.2367,alaska
4,0.0491,0.205,0.3406,0.4053,alaska
5,0.0403,0.2231,0.4156,0.321,alaska
6,0.0672,0.3081,0.3718,0.2529,alaska
7,0.0647,0.3698,0.3772,0.1882,alaska
8,0.0858,0.3877,0.3692,0.1573,alaska
9,0.0779,0.2828,0.3882,0.2512,alaska
10,0.0953,0.3715,0.369,0.1642,alaska
11,0.0586,0.3371,0.3589,0.2454,alaska
12,0.0503,0.3128,0.3602,0.2768,alaska
13,0.0592,0.2447,0.4087,0.2874,alaska
14,0.0285,0.1777,0.3619,0.432,alaska
15,0.0716,0.2987,0.4754,0.1544,alaska
16,0.0741,0.3009,0.3382,0.2869,alaska
17,0.0727,0.253,0.3978,0.2764,alaska
18,0.1024,0.2683,0.3155,0.3138,alaska
19,0.1426,0.4005,0.2991,0.1578,alaska
20,0.0798,0.2804,0.3058,0.3341,alaska
21,0.0545,0.2008,0.3367,0.4081,alaska
22,0.0604,0.2752,0.3144,0.35,alaska
23,0.0811,0.3074,0.3726,0.2388,alaska
24,0.0362,0.2552,0.3114,0.3972,alaska
25,0.0502,0.2507,0.4049,0.2942,alaska
26,0.0458,0.2279,0.3203,0.4059,alaska
27,0.0721,0.23,0.348,0.3499,alaska
28,0.0407,0.1618,0.2655,0.532,alaska
29,0.0792,0.3403,0.3631,0.2173,alaska
30,0.0747,0.3435,0.3698,0.2119,alaska
31,0.0742,0.2885,0.3513,0.286,alaska
32,0.1,0.3072,0.3326,0.2601,alaska
33,0.0515,0.2568,0.3454,0.3462,alaska
34,0.0506,0.215,0.3867,0.3477,alaska
35,0.0761,0.3277,0.3405,0.2557,alaska
36,0.0777,0.3387,0.374,0.2096,alaska
37,0.1206,0.4157,0.2978,0.1659,alaska
38,0.1998,0.4775,0.2253,0.0975,alaska
39,0.1712,0.4915,0.2329,0.1044,alaska
40,0.1335,0.4468,0.2812,0.1385,alaska
1,0.1397,0.3626,0.3244,0.1734,arkansas
2,0.1445,0.339,0.3423,0.1742,arkansas
3,0.1434,0.4162,0.309,0.1314,arkansas
4,0.1797,0.3885,0.3041,0.1277,arkansas
5,0.1555,0.4525,0.2731,0.1188,arkansas
6,0.1247,0.3376,0.3261,0.2116,arkansas
7,0.1391,0.3904,0.3077,0.1628,arkansas
8,0.1527,0.4576,0.2824,0.1072,arkansas
9,0.1463,0.3899,0.3019,0.1618,arkansas
10,0.1009,0.4602,0.2776,0.1613,arkansas
11,0.1899,0.4296,0.2544,0.1261,arkansas
12,0.2097,0.3714,0.3019,0.117,arkansas
13,0.1414,0.4294,0.2869,0.1423,arkansas
14,0.1543,0.4554,0.2437,0.1465,arkansas
15,0.1068,0.396,0.3048,0.1924,arkansas
16,0.1063,0.3679,0.3082,0.2176,arkansas
17,0.1538,0.393,0.3427,0.1105,arkansas
