district,average family size,state
1,3.34,alaska
2,3.43,alaska
3,3.48,alaska
4,3.19,alaska
5,3.46,alaska
6,3.33,alaska
7,3.67,alaska
8,3.69,alaska
9,3.72,alaska
10,3.74,alaska
11,3.72,alaska
12,3.54,alaska
13,3.43,alaska
14,3.47,alaska
15,3.67,alaska
16,3.36,alaska
17,3.28,alaska
18,3.2,alaska
19,3.68,alaska
20,3.07,alaska
21,3.26,alaska
22,3.16,alaska
23,3.49,alaska
24,3.28,alaska
25,3.46,alaska
26,3.25,alaska
27,3.2,alaska
28,3.21,alaska
29,3.29,alaska
30,3.32,alaska
31,3.07,alaska
32,3.4,alaska
33,3.0,alaska
34,3.12,alaska
35,3.15,alaska
36,3.2,alaska
37,3.75,alaska
38,4.42,alaska
39,4.08,alaska
40,4.01,alaska
1,3.14,arkansas
2,2.99,arkansas
3,3.5,arkansas
4,3.26,arkansas
5,2.93,arkansas
6,2.97,arkansas
7,2.99,arkansas
8,2.96,arkansas
9,3.04,arkansas
10,2.94,arkansas
11,2.97,arkansas
12,3.16,arkansas
13,2.92,arkansas
14,3.06,arkansas
15,3.05,arkansas
16,3.14,arkansas
17,3.28,arkansas
18,2.85,arkansas
19,3.12,arkansas
20,3.06,arkansas
21,3.06,arkansas
22,2.69,arkansas
23,3.09,arkansas
24,2.9,arkansas
25,3.0,arkansas
26,2.91,arkansas
27,3.3,arkansas
28,3.43,arkansas
29,3.43,arkansas
30,3.24,arkansas
31,3.22,arkansas
32,3.15,arkansas
33,3.17,arkansas
34,3.35,arkansas
35,2.92,arkansas
36,3.55,arkansas
37,3.55,arkansas
38,3.15,arkansas
39,3.0,arkansas
40,3.06,arkansas
41,3.21,arkansas
42,3.33,arkansas
43,3.14,arkansas
44,3.19,arkansas
45,3.07,arkansas
46,3.03,arkansas
47,3.0,arkansas
48,3.22,arkansas
49,3.12,arkansas
50,3.34,arkansas
51,3.16,arkansas
52,3.06,arkansas
53,3.05,arkansas
54,3.08,arkansas
55,3.2,arkansas
56,2.95,arkansas
57,3.0,arkansas
58,2.96,arkansas
59,3.19,arkansas
60,2.95,arkansas
61,2.77,arkansas
62,3.02,arkansas
63,3.05,arkansas
64,3.0,arkansas
65,3.08,arkansas
66,3.02,arkansas
67,3.29,arkansas
68,3.17,arkansas
69,3.12,arkansas
70,3.13,arkansas
71,3.23,arkansas
72,3.08,arkansas
73,3.35,arkansas
74,3.03,arkansas
75,3.12,arkansas
76,2.99,arkansas
77,3.03,arkansas
78,3.48,arkansas
79,3.05,arkansas
80,3.01,arkansas
81,3.06,arkansas
82,3.03,arkansas
83,3.0,arkansas
84,3.01,arkansas
85,3.05,arkansas
86,2.79,arkansas
87,3.26,arkansas
88,3.33,arkansas
89,3.84,arkansas
90,3.41,arkansas
91,3.19,arkansas
92,2.99,arkansas
93,3.2,arkansas
94,3.26,arkansas
95,3.13,arkansas
96,3.29,arkansas
97,3.06,arkansas
98,3.15,arkansas
99,2.92,arkansas
100,2.68,arkansas
1,2.97,california
2,3.08,california
3,3.24,california
4,3.23,california
5,3.21,california
6,3.21,california
7,3.48,california
8,3.2,california
9,3.59,california
10,3.12,california
11,3.46,california
12,3.5,california
13,3.71,california
14,3.3,california
15,3.19,california
16,3.18,california
17,3.1,california
18,3.39,california
19,3.34,california
20,3.57,california
21,3.75,california
22,3.29,california
23,3.4,california
24,3.22,california
25,3.46,california
26,3.72,california
27,3.94,california
28,3.2,california
29,3.22,california
30,3.95,california
31,4.02,california
32,4.01,california
33,3.65,california
34,3.47,california
35,3.33,california
36,3.74,california
37,3.3,california
38,3.43,california
39,4.08,california
40,3.68,california
41,3.33,california
42,3.25,california
43,3.27,california
44,3.67,california
45,3.41,california
46,3.5,california
47,4.25,california
48,4.1,california
49,3.65,california
50,2.96,california
51,3.86,california
52,4.1,california
53,3.72,california
54,3.3,california
55,3.53,california
56,3.93,california
57,3.99,california
58,3.96,california
59,4.33,california
60,4.09,california
61,4.08,california
62,3.5,california
63,4.2,california
64,4.36,california
65,3.69,california
66,3.25,california
67,3.78,california
68,3.41,california
69,4.44,california
70,3.47,california
71,3.4,california
72,3.61,california
73,3.24,california
74,3.06,california
75,3.55,california
76,3.33,california
77,3.34,california
78,2.88,california
79,3.67,california
80,3.99,california
1,3.45,colorado
2,2.67,colorado
3,3.1,colorado
4,3.38,colorado
5,3.49,colorado
6,2.86,colorado
7,3.84,colorado
8,3.01,colorado
9,2.76,colorado
10,2.89,colorado
11,3.11,colorado
12,3.1,colorado
13,2.76,colorado
14,3.27,colorado
15,3.22,colorado
16,2.99,colorado
17,3.2,colorado
