district,percent households receiving food stamps,state
1,13.5,alaska
2,5.5,alaska
3,1.9,alaska
4,5.5,alaska
5,3.6,alaska
6,9.0,alaska
7,17.2,alaska
8,8.3,alaska
9,6.1,alaska
10,11.0,alaska
11,9.3,alaska
12,5.5,alaska
13,2.9,alaska
14,2.6,alaska
15,14.7,alaska
16,6.6,alaska
17,8.1,alaska
18,14.6,alaska
19,33.1,alaska
20,13.1,alaska
21,5.1,alaska
22,5.1,alaska
23,11.3,alaska
24,5.2,alaska
25,6.7,alaska
26,5.6,alaska
27,4.8,alaska
28,1.2,alaska
29,8.9,alaska
30,10.7,alaska
31,6.8,alaska
32,7.3,alaska
33,11.9,alaska
34,3.7,alaska
35,9.4,alaska
36,14.6,alaska
37,18.0,alaska
38,41.7,alaska
39,38.7,alaska
40,26.4,alaska
1,13.7,arkansas
2,10.1,arkansas
3,16.2,arkansas
4,14.2,arkansas
5,25.5,arkansas
6,6.4,arkansas
7,14.9,arkansas
8,16.9,arkansas
9,16.1,arkansas
10,10.8,arkansas
11,20.6,arkansas
12,27.8,arkansas
13,14.7,arkansas
14,11.7,arkansas
15,10.0,arkansas
16,17.0,arkansas
17,24.2,arkansas
18,11.8,arkansas
19,13.4,arkansas
20,13.3,arkansas
21,12.3,arkansas
22,8.8,arkansas
23,6.3,arkansas
24,7.5,arkansas
25,20.3,arkansas
26,14.5,arkansas
27,8.1,arkansas
28,6.7,arkansas
29,13.1,arkansas
30,11.7,arkansas
31,5.0,arkansas
32,2.7,arkansas
33,8.3,arkansas
34,17.9,arkansas
35,4.5,arkansas
36,19.7,arkansas
37,24.8,arkansas
38,7.3,arkansas
39,9.3,arkansas
40,8.4,arkansas
41,8.3,arkansas
42,14.5,arkansas
43,7.6,arkansas
44,10.0,arkansas
45,8.9,arkansas
46,16.0,arkansas
47,19.7,arkansas
48,27.2,arkansas
49,16.1,arkansas
50,22.7,arkansas
51,14.1,arkansas
52,13.1,arkansas
53,11.5,arkansas
54,15.2,arkansas
55,22.6,arkansas
56,15.7,arkansas
57,16.5,arkansas
58,7.0,arkansas
59,21.4,arkansas
60,15.5,arkansas
61,13.6,arkansas
62,16.6,arkansas
63,7.5,arkansas
64,9.8,arkansas
65,14.8,arkansas
66,10.6,arkansas
67,5.3,arkansas
68,10.5,arkansas
69,11.5,arkansas
70,8.2,arkansas
71,14.8,arkansas
72,12.8,arkansas
73,11.7,arkansas
74,12.6,arkansas
75,7.9,arkansas
76,9.4,arkansas
77,10.2,arkansas
78,24.8,arkansas
79,14.9,arkansas
80,7.1,arkansas
81,7.9,arkansas
82,15.0,arkansas
83,9.6,arkansas
84,5.4,arkansas
85,6.0,arkansas
86,8.3,arkansas
