district,native,foreign born,state
1,0.9395,0.0605,alaska
2,0.913,0.087,alaska
3,0.9621,0.0379,alaska
4,0.9551,0.0449,alaska
5,0.9234,0.0766,alaska
6,0.9479,0.0521,alaska
7,0.9452,0.0548,alaska
8,0.9691,0.0309,alaska
9,0.9476,0.0524,alaska
10,0.9549,0.0451,alaska
11,0.9686,0.0314,alaska
12,0.9528,0.0472,alaska
13,0.9376,0.0624,alaska
14,0.9484,0.0516,alaska
15,0.8527,0.1473,alaska
16,0.8722,0.1278,alaska
17,0.8346,0.1654,alaska
18,0.8223,0.1777,alaska
19,0.782,0.218,alaska
20,0.8692,0.1308,alaska
21,0.8683,0.1317,alaska
22,0.8716,0.1284,alaska
23,0.7991,0.2009,alaska
24,0.9286,0.0714,alaska
25,0.8121,0.1879,alaska
26,0.8758,0.1242,alaska
27,0.8821,0.1179,alaska
28,0.9474,0.0526,alaska
29,0.9671,0.0329,alaska
30,0.9611,0.0389,alaska
31,0.9574,0.0426,alaska
32,0.785,0.215,alaska
33,0.884,0.116,alaska
34,0.9354,0.0646,alaska
35,0.8956,0.1044,alaska
36,0.9138,0.0862,alaska
37,0.7478,0.2522,alaska
38,0.9708,0.0292,alaska
39,0.9718,0.0282,alaska
40,0.945,0.055,alaska
1,0.974,0.026,arkansas
2,0.9736,0.0264,arkansas
3,0.9418,0.0582,arkansas
4,0.8839,0.1161,arkansas
5,0.9894,0.0106,arkansas
6,0.9873,0.0127,arkansas
7,0.9642,0.0358,arkansas
8,0.9549,0.0451,arkansas
9,0.9824,0.0176,arkansas
10,0.9913,0.0087,arkansas
11,0.9591,0.0409,arkansas
12,0.989,0.011,arkansas
13,0.9907,0.0093,arkansas
14,0.9844,0.0156,arkansas
15,0.979,0.021,arkansas
16,0.9719,0.0281,arkansas
17,0.987,0.013,arkansas
18,0.9804,0.0196,arkansas
19,0.9335,0.0665,arkansas
20,0.9583,0.0417,arkansas
21,0.9752,0.0248,arkansas
22,0.9763,0.0237,arkansas
23,0.9663,0.0337,arkansas
24,0.9312,0.0688,arkansas
25,0.9332,0.0668,arkansas
26,0.9842,0.0158,arkansas
27,0.9475,0.0525,arkansas
28,0.9723,0.0277,arkansas
29,0.8654,0.1346,arkansas
30,0.9249,0.0751,arkansas
31,0.9441,0.0559,arkansas
32,0.8763,0.1237,arkansas
33,0.9372,0.0628,arkansas
34,0.9555,0.0445,arkansas
35,0.9324,0.0676,arkansas
36,0.9361,0.0639,arkansas
37,0.968,0.032,arkansas
38,0.9462,0.0538,arkansas
39,0.956,0.044,arkansas
40,0.9515,0.0485,arkansas
41,0.9666,0.0334,arkansas
42,0.9576,0.0424,arkansas
43,0.9648,0.0352,arkansas
44,0.9804,0.0196,arkansas
45,0.9607,0.0393,arkansas
46,0.9562,0.0438,arkansas
47,0.9932,0.0068,arkansas
48,0.9618,0.0382,arkansas
49,0.9798,0.0202,arkansas
50,0.9863,0.0137,arkansas
51,0.9753,0.0247,arkansas
52,0.975,0.025,arkansas
53,0.9791,0.0209,arkansas
54,0.9866,0.0134,arkansas
55,0.9756,0.0244,arkansas
56,0.9946,0.0054,arkansas
57,0.99,0.01,arkansas
58,0.9407,0.0593,arkansas
59,0.9392,0.0608,arkansas
60,0.9877,0.0123,arkansas
61,0.9736,0.0264,arkansas
62,0.9914,0.0086,arkansas
63,0.9589,0.0411,arkansas
64,0.9934,0.0066,arkansas
65,0.9798,0.0202,arkansas
66,0.9787,0.0213,arkansas
67,0.9807,0.0193,arkansas
68,0.985,0.015,arkansas
69,0.9037,0.0963,arkansas
70,0.9339,0.0661,arkansas
71,0.8885,0.1115,arkansas
72,0.9612,0.0388,arkansas
73,0.8981,0.1019,arkansas
74,0.9849,0.0151,arkansas
75,0.9743,0.0257,arkansas
76,0.8923,0.1077,arkansas
77,0.9369,0.0631,arkansas
78,0.7421,0.2579,arkansas
79,0.9194,0.0806,arkansas
80,0.9573,0.0427,arkansas
81,0.986,0.014,arkansas
82,0.982,0.018,arkansas
83,0.9972,0.0028,arkansas
84,0.9465,0.0535,arkansas
85,0.9569,0.0431,arkansas
86,0.9211,0.0789,arkansas
87,0.8551,0.1449,arkansas
88,0.7861,0.2139,arkansas
89,0.6134,0.3866,arkansas
90,0.8231,0.1769,arkansas
91,0.9291,0.0709,arkansas
92,0.9646,0.0354,arkansas
93,0.8054,0.1946,arkansas
94,0.7258,0.2742,arkansas
95,0.8915,0.1085,arkansas
96,0.824,0.176,arkansas
97,0.9249,0.0751,arkansas
98,0.9458,0.0542,arkansas
99,0.9824,0.0176,arkansas
100,0.9755,0.0245,arkansas
1,0.9346,0.0654,california
2,0.8724,0.1276,california
3,0.8504,0.1496,california
4,0.7776,0.2224,california
5,0.867,0.133,california
6,0.8506,0.1494,california
7,0.7438,0.2562,california
8,0.7748,0.2252,california
9,0.7096,0.2904,california
10,0.7932,0.2068,california
11,0.7855,0.2145,california
12,0.7815,0.2185,california
13,0.6748,0.3252,california
14,0.7166,0.2834,california
15,0.6909,0.3091,california
16,0.6944,0.3056,california
17,0.6246,0.3754,california
18,0.6522,0.3478,california
19,0.569,0.431,california
20,0.5337,0.4663,california
21,0.673,0.327,california
22,0.6143,0.3857,california
23,0.8139,0.1861,california
24,0.5578,0.4422,california
25,0.4271,0.5729,california
26,0.734,0.266,california
27,0.4912,0.5088,california
28,0.5942,0.4058,california
29,0.7815,0.2185,california
30,0.6206,0.3794,california
31,0.6631,0.3369,california
32,0.6458,0.3542,california
33,0.8135,0.1865,california
34,0.8231,0.1769,california
35,0.8002,0.1998,california
36,0.7927,0.2073,california
37,0.7795,0.2205,california
38,0.7266,0.2734,california
39,0.5193,0.4807,california
40,0.7529,0.2471,california
41,0.7295,0.2705,california
42,0.8219,0.1781,california
43,0.5342,0.4658,california
44,0.7113,0.2887,california
45,0.5821,0.4179,california
46,0.5671,0.4329,california
47,0.6749,0.3251,california
48,0.597,0.403,california
49,0.4161,0.5839,california
50,0.7248,0.2752,california
51,0.5549,0.4451,california
52,0.6372,0.3628,california
53,0.4217,0.5783,california
54,0.6741,0.3259,california
55,0.6095,0.3905,california
56,0.6468,0.3532,california
57,0.6523,0.3477,california
58,0.5772,0.4228,california
59,0.5006,0.4994,california
60,0.6824,0.3176,california
61,0.6997,0.3003,california
62,0.6693,0.3307,california
63,0.55,0.45,california
64,0.5814,0.4186,california
65,0.5895,0.4105,california
66,0.6712,0.3288,california
67,0.7884,0.2116,california
68,0.6643,0.3357,california
69,0.5018,0.4982,california
70,0.7199,0.2801,california
71,0.8133,0.1867,california
72,0.5946,0.4054,california
73,0.7744,0.2256,california
74,0.7193,0.2807,california
75,0.7405,0.2595,california
76,0.7829,0.2171,california
77,0.6819,0.3181,california
78,0.8106,0.1894,california
79,0.7057,0.2943,california
80,0.5926,0.4074,california
1,0.7687,0.2313,colorado
2,0.9186,0.0814,colorado
3,0.8925,0.1075,colorado
4,0.8507,0.1493,colorado
5,0.8199,0.1801,colorado
6,0.849,0.151,colorado
7,0.7395,0.2605,colorado
8,0.9243,0.0757,colorado
9,0.8463,0.1537,colorado
10,0.8765,0.1235,colorado
11,0.8796,0.1204,colorado
12,0.8968,0.1032,colorado
13,0.9393,0.0607,colorado
14,0.9172,0.0828,colorado
15,0.8976,0.1024,colorado
16,0.9305,0.0695,colorado
17,0.8434,0.1566,colorado
18,0.9466,0.0534,colorado
19,0.9493,0.0507,colorado
20,0.9275,0.0725,colorado
21,0.9105,0.0895,colorado
22,0.9402,0.0598,colorado
23,0.9127,0.0873,colorado
24,0.938,0.062,colorado
25,0.9563,0.0437,colorado
26,0.8578,0.1422,colorado
27,0.9492,0.0508,colorado
28,0.8883,0.1117,colorado
29,0.9147,0.0853,colorado
30,0.7589,0.2411,colorado
31,0.8417,0.1583,colorado
32,0.7451,0.2549,colorado
33,0.8656,0.1344,colorado
34,0.8048,0.1952,colorado
35,0.8717,0.1283,colorado
36,0.7891,0.2109,colorado
37,0.858,0.142,colorado
38,0.9399,0.0601,colorado
39,0.944,0.056,colorado
40,0.8217,0.1783,colorado
41,0.7577,0.2423,colorado
42,0.6461,0.3539,colorado
43,0.9002,0.0998,colorado
44,0.8915,0.1085,colorado
45,0.9235,0.0765,colorado
46,0.9677,0.0323,colorado
47,0.9591,0.0409,colorado
48,0.9272,0.0728,colorado
49,0.9488,0.0512,colorado
50,0.8259,0.1741,colorado
51,0.9626,0.0374,colorado
52,0.9023,0.0977,colorado
53,0.933,0.067,colorado
54,0.9537,0.0463,colorado
55,0.9484,0.0516,colorado
56,0.9056,0.0944,colorado
57,0.8536,0.1464,colorado
58,0.9295,0.0705,colorado
59,0.9705,0.0295,colorado
60,0.9706,0.0294,colorado
61,0.9157,0.0843,colorado
62,0.9392,0.0608,colorado
63,0.9036,0.0964,colorado
64,0.9528,0.0472,colorado
65,0.8848,0.1152,colorado
1,0.7254,0.2746,connecticut
2,0.7979,0.2021,connecticut
3,0.7608,0.2392,connecticut
4,0.7644,0.2356,connecticut
5,0.838,0.162,connecticut
6,0.7008,0.2992,connecticut
7,0.743,0.257,connecticut
