district,percent uninsured,state
1,9.7,alaska
2,7.6,alaska
3,10.2,alaska
4,8.1,alaska
5,11.8,alaska
6,12.6,alaska
7,16.8,alaska
8,14.3,alaska
9,15.3,alaska
10,16.3,alaska
11,10.0,alaska
12,10.6,alaska
13,8.0,alaska
14,3.9,alaska
15,9.0,alaska
16,12.0,alaska
17,12.3,alaska
18,13.0,alaska
19,10.8,alaska
20,11.4,alaska
21,11.7,alaska
22,11.0,alaska
23,17.2,alaska
24,8.0,alaska
25,10.5,alaska
26,12.1,alaska
27,11.6,alaska
28,7.4,alaska
29,14.6,alaska
30,10.4,alaska
31,15.9,alaska
32,18.0,alaska
33,10.6,alaska
34,8.3,alaska
35,17.2,alaska
36,11.8,alaska
37,23.7,alaska
38,17.4,alaska
39,18.8,alaska
40,21.2,alaska
1,8.9,arkansas
2,8.4,arkansas
3,8.4,arkansas
4,11.4,arkansas
5,7.5,arkansas
6,4.4,arkansas
7,9.2,arkansas
8,7.4,arkansas
9,6.3,arkansas
10,5.4,arkansas
11,9.0,arkansas
12,7.2,arkansas
13,7.4,arkansas
14,6.8,arkansas
15,4.8,arkansas
16,5.4,arkansas
17,7.5,arkansas
18,8.4,arkansas
19,9.6,arkansas
20,10.6,arkansas
21,7.6,arkansas
22,6.7,arkansas
23,4.6,arkansas
24,11.4,arkansas
25,12.4,arkansas
26,7.0,arkansas
27,6.6,arkansas
28,7.4,arkansas
29,15.6,arkansas
30,9.8,arkansas
31,4.8,arkansas
32,4.8,arkansas
33,6.2,arkansas
34,9.9,arkansas
35,4.9,arkansas
36,11.3,arkansas
37,10.1,arkansas
38,8.3,arkansas
39,6.1,arkansas
40,9.7,arkansas
41,5.0,arkansas
42,7.6,arkansas
43,6.9,arkansas
44,7.6,arkansas
45,10.2,arkansas
46,7.8,arkansas
47,8.4,arkansas
48,9.5,arkansas
49,8.3,arkansas
50,7.3,arkansas
51,8.8,arkansas
52,9.4,arkansas
53,7.4,arkansas
54,7.4,arkansas
55,8.3,arkansas
56,6.2,arkansas
57,7.8,arkansas
58,8.5,arkansas
59,10.1,arkansas
60,6.8,arkansas
61,8.2,arkansas
62,5.9,arkansas
63,8.9,arkansas
64,7.2,arkansas
65,5.8,arkansas
66,9.0,arkansas
67,4.7,arkansas
68,7.1,arkansas
69,7.4,arkansas
70,8.6,arkansas
71,7.2,arkansas
72,9.9,arkansas
73,7.1,arkansas
74,6.0,arkansas
75,6.7,arkansas
76,8.7,arkansas
77,10.9,arkansas
78,18.3,arkansas
79,9.8,arkansas
80,10.3,arkansas
81,7.4,arkansas
82,6.8,arkansas
83,6.6,arkansas
84,8.3,arkansas
85,9.0,arkansas
86,7.0,arkansas
87,10.8,arkansas
88,17.1,arkansas
89,21.6,arkansas
90,9.4,arkansas
91,5.7,arkansas
92,6.0,arkansas
93,6.7,arkansas
94,16.1,arkansas
95,6.1,arkansas
96,10.2,arkansas
97,9.7,arkansas
98,8.7,arkansas
99,6.3,arkansas
100,5.6,arkansas
1,5.8,california
2,7.2,california
3,6.5,california
4,5.8,california
5,6.5,california
6,3.3,california
7,6.1,california
8,5.8,california
9,5.1,california
10,4.7,california
11,4.8,california
12,5.2,california
13,6.6,california
14,5.5,california
15,5.5,california
16,2.1,california
17,3.9,california
18,6.6,california
19,3.5,california
20,3.8,california
21,7.2,california
22,3.5,california
23,5.6,california
24,3.4,california
25,3.2,california
26,7.7,california
27,6.2,california
28,3.7,california
29,5.0,california
30,8.8,california
31,10.2,california
32,9.2,california
33,7.2,california
34,6.5,california
35,8.9,california
36,6.5,california
37,7.4,california
38,5.0,california
39,10.2,california
40,7.8,california
41,5.6,california
42,6.9,california
43,7.3,california
44,10.0,california
45,7.7,california
46,10.0,california
47,9.9,california
48,8.2,california
49,6.2,california
50,5.1,california
51,11.7,california
52,10.9,california
53,19.0,california
54,7.2,california
55,5.3,california
56,9.0,california
57,8.0,california
58,9.5,california
59,15.4,california
60,9.5,california
61,9.9,california
62,9.0,california
63,12.6,california
64,11.9,california
65,8.2,california
66,5.5,california
67,6.8,california
68,5.7,california
69,14.0,california
70,8.6,california
71,6.6,california
72,6.5,california
73,3.9,california
74,5.6,california
75,9.1,california
76,7.8,california
77,3.5,california
78,6.4,california
79,7.4,california
80,12.4,california
1,14.3,colorado
2,5.9,colorado
3,6.5,colorado
4,10.5,colorado
5,12.1,colorado
6,6.2,colorado
7,11.9,colorado
8,6.6,colorado
9,8.2,colorado
10,5.0,colorado
11,6.0,colorado
12,3.8,colorado
13,6.5,colorado
14,4.2,colorado
15,6.6,colorado
16,8.8,colorado
17,13.7,colorado
18,8.7,colorado
19,5.4,colorado
20,4.7,colorado
21,5.6,colorado
22,3.0,colorado
23,7.3,colorado
24,5.5,colorado
25,2.9,colorado
26,10.4,colorado
27,4.5,colorado
28,7.6,colorado
29,6.3,colorado
30,11.3,colorado
31,10.4,colorado
32,13.4,colorado
33,4.9,colorado
34,10.2,colorado
35,8.8,colorado
36,7.8,colorado
37,3.4,colorado
38,3.6,colorado
39,4.6,colorado
40,6.9,colorado
41,9.5,colorado
42,19.4,colorado
43,2.4,colorado
44,4.2,colorado
45,4.0,colorado
46,6.7,colorado
47,6.2,colorado
48,6.5,colorado
49,5.2,colorado
50,11.9,colorado
51,6.2,colorado
52,6.5,colorado
53,6.3,colorado
54,10.5,colorado
55,8.5,colorado
56,5.7,colorado
57,16.5,colorado
58,11.6,colorado
59,9.8,colorado
60,8.9,colorado
61,11.7,colorado
62,10.3,colorado
63,8.9,colorado
64,7.2,colorado
65,10.2,colorado
1,8.5,connecticut
2,8.8,connecticut
3,13.9,connecticut
4,10.0,connecticut
5,3.0,connecticut
6,11.1,connecticut
7,5.6,connecticut
8,2.1,connecticut
9,3.5,connecticut
10,6.0,connecticut
11,6.2,connecticut
12,3.5,connecticut
13,2.3,connecticut
14,1.5,connecticut
15,2.8,connecticut
16,1.6,connecticut
17,1.8,connecticut
18,1.4,connecticut
19,1.0,connecticut
20,2.5,connecticut
21,2.6,connecticut
22,3.7,connecticut
23,2.8,connecticut
24,5.7,connecticut
25,4.8,connecticut
26,5.3,connecticut
27,3.3,connecticut
28,2.2,connecticut
29,5.5,connecticut
30,0.8,connecticut
31,1.9,connecticut
32,2.4,connecticut
33,3.7,connecticut
34,2.2,connecticut
35,4.9,connecticut
36,4.1,connecticut
37,3.4,connecticut
38,2.1,connecticut
39,9.9,connecticut
40,3.9,connecticut
41,3.6,connecticut
42,4.1,connecticut
43,3.7,connecticut
44,4.1,connecticut
45,2.3,connecticut
46,6.8,connecticut
47,3.5,connecticut
