district,monthly housing costs - $499 or lower,monthly housing costs - $500 - 999,monthly housing costs - $1000 1999,monthly housing costs - $2000 or higher,monthly housing costs - median,state
1,9.600000000000001,26.9,46.3,14.7,1165.0,alaska
2,4.5,15.4,40.6,35.0,1674.0,alaska
3,7.199999999999999,17.6,43.7,30.9,1680.0,alaska
4,9.2,25.200000000000003,40.2,22.5,1328.0,alaska
5,10.0,25.0,44.7,20.0,1242.0,alaska
6,26.0,21.0,32.2,15.0,1006.0,alaska
7,12.6,19.6,50.099999999999994,15.6,1266.0,alaska
8,15.2,22.0,47.2,12.9,1284.0,alaska
9,21.700000000000003,24.0,36.1,14.8,1071.0,alaska
10,19.6,19.5,44.599999999999994,13.4,1161.0,alaska
11,10.9,25.4,46.2,16.4,1316.0,alaska
12,10.5,21.5,39.4,27.900000000000002,1483.0,alaska
13,5.6,18.0,33.9,39.699999999999996,1763.0,alaska
14,5.6,12.6,30.1,51.4,2025.0,alaska
15,3.8,12.7,51.099999999999994,30.5,1581.0,alaska
16,4.5,21.299999999999997,50.7,22.2,1420.0,alaska
17,4.4,28.5,50.0,16.2,1202.0,alaska
18,9.4,33.7,43.800000000000004,12.2,1069.0,alaska
19,10.399999999999999,36.7,45.2,6.199999999999999,1041.0,alaska
20,8.1,34.8,43.5,12.3,1080.0,alaska
21,4.3,19.299999999999997,54.5,20.5,1482.0,alaska
22,3.7,12.6,54.7,27.6,1539.0,alaska
23,3.5,25.200000000000003,50.2,20.099999999999998,1427.0,alaska
24,2.3,18.0,37.5,40.7,1819.0,alaska
25,3.0,14.8,47.900000000000006,34.0,1743.0,alaska
26,4.3,18.1,43.6,33.0,1480.0,alaska
27,4.9,18.1,49.8,26.5,1548.0,alaska
28,3.6,20.8,22.6,51.3,2100.0,alaska
29,27.0,22.5,36.8,10.0,973.0,alaska
30,15.3,27.1,47.6,8.1,1108.0,alaska
31,28.3,26.0,31.3,11.899999999999999,881.0,alaska
32,12.8,26.799999999999997,30.2,22.9,1267.0,alaska
33,15.2,26.5,38.5,17.8,1126.0,alaska
34,8.1,17.2,40.6,33.6,1630.0,alaska
35,23.5,31.0,29.4,10.899999999999999,883.0,alaska
36,17.5,29.7,37.3,12.700000000000001,1027.0,alaska
37,22.6,30.1,21.7,7.2,779.0,alaska
38,34.9,25.099999999999998,22.0,8.6,632.0,alaska
39,32.3,31.1,18.8,6.0,639.0,alaska
40,22.0,30.5,30.0,5.6,838.0,alaska
1,30.6,47.699999999999996,17.1,1.4000000000000001,651.0,arkansas
2,38.9,38.9,14.600000000000001,3.0,581.0,arkansas
3,42.8,40.0,11.0,1.4,554.0,arkansas
4,50.0,35.8,8.9,0.5,480.0,arkansas
5,51.5,34.0,5.5,0.9000000000000001,444.0,arkansas
6,41.8,36.400000000000006,15.3,2.3,553.0,arkansas
7,45.9,38.4,8.9,1.9,514.0,arkansas
8,47.7,34.0,11.7,0.8999999999999999,497.0,arkansas
9,40.2,40.5,13.700000000000001,1.1,582.0,arkansas
10,43.400000000000006,35.5,15.0,1.3,540.0,arkansas
11,50.0,35.7,6.5,0.6000000000000001,476.0,arkansas
12,42.2,38.6,9.5,0.5,530.0,arkansas
13,41.3,41.0,10.6,1.3,543.0,arkansas
14,32.9,35.7,22.4,2.6999999999999997,692.0,arkansas
15,34.6,42.3,18.1,1.9000000000000001,644.0,arkansas
16,32.4,44.6,17.4,2.1,669.0,arkansas
17,38.4,49.5,9.1,0.2,589.0,arkansas
18,41.8,35.5,17.6,1.9,573.0,arkansas
19,46.0,36.2,9.2,1.9000000000000001,505.0,arkansas
20,47.9,34.0,11.3,2.0,498.0,arkansas
21,44.2,34.5,16.1,1.6,536.0,arkansas
22,34.8,37.6,20.9,4.300000000000001,686.0,arkansas
23,22.1,37.0,32.7,6.699999999999999,879.0,arkansas
24,25.200000000000003,46.3,22.6,3.3,736.0,arkansas
25,33.3,43.5,15.3,4.300000000000001,632.0,arkansas
26,38.4,39.5,17.4,1.7,634.0,arkansas
27,30.200000000000003,32.4,34.4,1.5999999999999999,807.0,arkansas
