district,percent owner-occupied housing units,state
1,42.3,alaska
2,36.9,alaska
3,74.4,alaska
4,76.4,alaska
5,64.7,alaska
6,64.5,alaska
7,65.4,alaska
8,76.8,alaska
9,77.9,alaska
10,79.7,alaska
11,73.1,alaska
12,78.7,alaska
13,45.0,alaska
14,76.6,alaska
15,32.2,alaska
16,63.0,alaska
17,46.1,alaska
18,40.0,alaska
19,46.1,alaska
20,30.5,alaska
21,59.7,alaska
22,62.2,alaska
23,62.1,alaska
24,81.1,alaska
25,78.5,alaska
26,72.6,alaska
27,80.1,alaska
28,86.5,alaska
29,76.6,alaska
30,64.3,alaska
31,75.1,alaska
32,63.6,alaska
33,57.7,alaska
34,72.9,alaska
35,62.8,alaska
36,61.9,alaska
37,52.5,alaska
38,64.5,alaska
39,66.4,alaska
40,52.5,alaska
1,56.5,arkansas
2,75.6,arkansas
3,68.1,arkansas
4,72.7,arkansas
5,61.8,arkansas
6,75.1,arkansas
7,71.8,arkansas
8,70.4,arkansas
9,64.2,arkansas
10,77.5,arkansas
11,63.2,arkansas
12,53.3,arkansas
13,67.6,arkansas
14,73.0,arkansas
15,77.3,arkansas
16,64.0,arkansas
17,50.4,arkansas
18,68.8,arkansas
19,71.5,arkansas
20,77.6,arkansas
21,80.8,arkansas
22,81.2,arkansas
23,73.6,arkansas
24,63.4,arkansas
25,54.9,arkansas
26,70.8,arkansas
27,81.4,arkansas
28,70.6,arkansas
29,56.6,arkansas
30,58.0,arkansas
31,77.3,arkansas
32,73.1,arkansas
33,49.7,arkansas
34,51.4,arkansas
35,57.3,arkansas
36,51.7,arkansas
37,43.8,arkansas
38,63.3,arkansas
39,62.1,arkansas
40,78.3,arkansas
41,64.1,arkansas
42,53.5,arkansas
43,65.0,arkansas
44,76.8,arkansas
45,67.3,arkansas
46,58.4,arkansas
47,69.9,arkansas
48,55.6,arkansas
49,62.3,arkansas
50,59.4,arkansas
51,58.9,arkansas
52,71.4,arkansas
53,62.3,arkansas
54,61.6,arkansas
55,52.1,arkansas
56,75.0,arkansas
57,61.7,arkansas
58,53.3,arkansas
59,56.5,arkansas
60,72.5,arkansas
61,74.5,arkansas
62,75.2,arkansas
63,69.8,arkansas
64,80.9,arkansas
65,73.9,arkansas
66,73.4,arkansas
67,75.8,arkansas
68,85.1,arkansas
69,72.6,arkansas
70,55.2,arkansas
71,49.3,arkansas
72,45.3,arkansas
73,69.2,arkansas
74,77.0,arkansas
75,77.2,arkansas
76,58.0,arkansas
77,47.7,arkansas
78,46.9,arkansas
79,68.7,arkansas
80,78.2,arkansas
81,81.1,arkansas
82,73.9,arkansas
83,81.1,arkansas
84,59.0,arkansas
85,48.0,arkansas
86,26.1,arkansas
87,64.0,arkansas
88,49.2,arkansas
89,41.3,arkansas
90,67.5,arkansas
91,63.6,arkansas
92,81.3,arkansas
93,61.5,arkansas
94,45.9,arkansas
95,78.3,arkansas
96,75.6,arkansas
97,81.0,arkansas
98,67.2,arkansas
99,79.0,arkansas
100,73.2,arkansas
1,67.2,california
2,59.1,california
3,58.3,california
4,58.6,california
5,68.4,california
6,71.3,california
7,48.2,california
8,54.1,california
9,59.8,california
10,60.9,california
11,62.7,california
12,60.9,california
13,52.8,california
14,59.5,california
15,51.9,california
16,71.8,california
17,31.6,california
18,40.7,california
19,47.8,california
20,58.2,california
21,51.9,california
22,58.7,california
23,58.6,california
24,53.6,california
25,56.2,california
26,57.4,california
27,54.9,california
28,60.1,california
29,59.3,california
30,53.6,california
31,45.0,california
32,47.9,california
33,59.8,california
34,61.1,california
35,57.4,california
36,62.4,california
37,53.8,california
38,70.3,california
39,53.0,california
40,53.3,california
41,56.3,california
42,63.6,california
43,35.5,california
44,64.7,california
45,55.1,california
46,37.0,california
47,60.2,california
48,61.7,california
49,51.5,california
50,34.5,california
51,34.5,california
52,55.8,california
53,12.3,california
54,37.1,california
55,70.2,california
56,60.0,california
57,66.1,california
58,50.8,california
59,29.8,california
60,64.0,california
61,57.8,california
62,37.4,california
63,45.7,california
64,51.2,california
65,51.0,california
66,57.3,california
67,71.2,california
68,62.9,california
