district,household language not english,state
1,13.4,alaska
2,13.7,alaska
3,5.8,alaska
4,4.9,alaska
5,14.0,alaska
6,8.9,alaska
7,7.6,alaska
8,4.9,alaska
9,9.3,alaska
10,7.3,alaska
11,4.3,alaska
12,7.5,alaska
13,11.9,alaska
14,7.3,alaska
15,23.4,alaska
16,19.7,alaska
17,23.1,alaska
18,22.3,alaska
19,33.7,alaska
20,17.3,alaska
21,14.8,alaska
22,18.0,alaska
23,22.7,alaska
24,12.4,alaska
25,20.6,alaska
26,17.4,alaska
27,14.0,alaska
28,7.0,alaska
29,6.9,alaska
30,6.5,alaska
31,8.3,alaska
32,26.6,alaska
33,13.2,alaska
34,10.2,alaska
35,13.0,alaska
36,9.3,alaska
37,39.3,alaska
38,61.0,alaska
39,30.1,alaska
40,34.5,alaska
1,2.6,arkansas
2,3.1,arkansas
3,8.4,arkansas
4,19.5,arkansas
5,1.4,arkansas
6,2.5,arkansas
7,5.8,arkansas
8,6.8,arkansas
9,4.4,arkansas
10,2.1,arkansas
11,6.5,arkansas
12,2.2,arkansas
13,1.7,arkansas
14,3.1,arkansas
15,3.9,arkansas
16,3.8,arkansas
17,3.9,arkansas
18,3.7,arkansas
19,10.2,arkansas
20,5.5,arkansas
21,3.7,arkansas
22,3.1,arkansas
23,5.0,arkansas
24,9.2,arkansas
25,8.4,arkansas
26,4.3,arkansas
27,7.3,arkansas
28,3.1,arkansas
29,21.7,arkansas
30,11.8,arkansas
31,6.5,arkansas
32,12.1,arkansas
33,6.8,arkansas
34,5.4,arkansas
35,5.7,arkansas
36,10.4,arkansas
37,3.5,arkansas
38,6.0,arkansas
39,4.9,arkansas
40,5.3,arkansas
41,3.7,arkansas
42,5.0,arkansas
43,4.4,arkansas
44,3.6,arkansas
45,5.3,arkansas
46,8.4,arkansas
47,1.8,arkansas
48,5.8,arkansas
49,2.5,arkansas
50,1.5,arkansas
51,2.9,arkansas
52,3.0,arkansas
53,3.4,arkansas
54,3.0,arkansas
55,4.4,arkansas
56,1.4,arkansas
57,1.7,arkansas
58,6.1,arkansas
59,8.0,arkansas
60,1.9,arkansas
61,1.8,arkansas
62,2.1,arkansas
63,5.5,arkansas
64,1.1,arkansas
65,3.3,arkansas
66,2.3,arkansas
67,2.7,arkansas
68,2.1,arkansas
69,10.6,arkansas
70,7.8,arkansas
71,15.9,arkansas
72,5.0,arkansas
73,15.3,arkansas
74,3.1,arkansas
75,3.3,arkansas
76,13.9,arkansas
77,9.5,arkansas
78,39.5,arkansas
79,12.0,arkansas
80,5.7,arkansas
81,2.7,arkansas
82,2.4,arkansas
83,0.7,arkansas
84,7.7,arkansas
85,6.2,arkansas
86,9.2,arkansas
87,19.4,arkansas
88,30.9,arkansas
89,53.4,arkansas
90,18.5,arkansas
91,7.6,arkansas
92,4.0,arkansas
93,13.9,arkansas
94,25.7,arkansas
95,8.5,arkansas
96,19.1,arkansas
97,8.9,arkansas
98,8.1,arkansas
99,1.8,arkansas
100,2.8,arkansas
1,9.5,california
2,18.6,california
3,24.2,california
4,31.3,california
5,21.5,california
6,16.5,california
7,35.6,california
8,28.2,california
9,38.4,california
10,24.1,california
11,28.0,california
12,34.0,california
13,45.0,california
14,34.7,california
15,38.6,california
16,30.9,california
17,41.6,california
18,44.3,california
19,49.0,california
20,56.1,california
21,52.9,california
22,42.0,california
23,30.5,california
24,46.6,california
25,63.0,california
26,48.7,california
27,65.7,california
28,43.7,california
29,30.0,california
30,58.9,california
31,59.2,california
32,60.6,california
33,29.1,california
34,30.3,california
35,31.1,california
36,34.6,california
37,34.0,california
38,33.6,california
39,70.6,california
40,38.9,california
41,35.2,california
42,27.1,california
43,54.7,california
44,41.5,california
45,50.4,california
46,56.4,california
47,56.8,california
48,60.9,california
49,71.8,california
50,29.8,california
51,69.6,california
52,57.5,california
53,77.5,california
54,43.5,california
55,47.8,california
56,63.5,california
57,57.2,california
58,66.9,california
59,75.6,california
60,49.6,california
61,48.8,california
62,47.5,california
63,72.7,california
64,65.5,california
65,53.0,california
66,38.9,california
67,31.1,california
68,40.9,california
69,75.3,california
70,42.1,california
71,26.8,california
72,50.1,california
73,24.7,california
74,32.6,california
75,32.7,california
76,28.2,california
77,33.3,california
78,24.8,california
79,42.6,california
80,66.0,california
1,34.9,colorado
2,10.8,colorado
3,15.7,colorado
4,28.5,colorado
5,30.6,colorado
6,17.7,colorado
7,39.2,colorado
8,12.6,colorado
9,18.5,colorado
10,16.0,colorado
11,17.1,colorado
12,13.2,colorado
13,8.1,colorado
14,8.8,colorado
15,11.8,colorado
16,10.0,colorado
17,26.0,colorado
18,9.3,colorado
19,5.7,colorado
20,8.8,colorado
21,14.0,colorado
22,7.5,colorado
23,12.0,colorado
24,10.2,colorado
25,5.0,colorado
26,19.7,colorado
27,7.8,colorado
28,17.2,colorado
29,12.7,colorado
30,35.6,colorado
31,24.2,colorado
32,40.5,colorado
33,14.2,colorado
34,28.0,colorado
35,20.7,colorado
36,27.0,colorado
37,17.2,colorado
38,8.0,colorado
39,5.3,colorado
40,23.4,colorado
41,30.0,colorado
42,47.6,colorado
43,9.4,colorado
44,11.9,colorado
45,8.0,colorado
46,10.6,colorado
47,11.3,colorado
48,13.9,colorado
49,6.5,colorado
50,31.6,colorado
51,5.6,colorado
52,13.2,colorado
53,9.7,colorado
54,7.7,colorado
55,6.9,colorado
56,14.5,colorado
57,22.1,colorado
58,15.2,colorado
59,8.6,colorado
60,6.1,colorado
61,11.5,colorado
62,22.7,colorado
63,16.3,colorado
64,10.1,colorado
65,18.0,colorado
1,26.5,connecticut
2,20.2,connecticut
3,60.5,connecticut
4,52.7,connecticut
5,18.7,connecticut
6,57.0,connecticut
7,23.2,connecticut
8,6.5,connecticut
9,31.1,connecticut
10,37.0,connecticut
11,42.3,connecticut
12,19.4,connecticut
13,16.0,connecticut
14,20.7,connecticut
15,14.8,connecticut
16,9.2,connecticut
17,13.4,connecticut
18,19.8,connecticut
19,21.9,connecticut
20,29.6,connecticut
21,26.1,connecticut
22,29.2,connecticut
23,7.0,connecticut
24,38.7,connecticut
25,57.2,connecticut
26,43.1,connecticut
27,28.7,connecticut
28,22.0,connecticut
29,30.3,connecticut
30,13.1,connecticut
31,13.7,connecticut
32,8.4,connecticut
33,19.2,connecticut
34,6.8,connecticut
35,8.6,connecticut
36,6.7,connecticut
37,11.9,connecticut
38,7.8,connecticut
39,36.4,connecticut
40,14.1,connecticut
41,12.5,connecticut
42,9.2,connecticut
43,5.6,connecticut
44,6.1,connecticut
45,3.4,connecticut
46,25.8,connecticut
47,7.3,connecticut
48,7.5,connecticut
49,38.3,connecticut
50,5.5,connecticut
51,5.5,connecticut
52,5.0,connecticut
53,7.1,connecticut
54,19.7,connecticut
55,6.5,connecticut
56,15.3,connecticut
57,9.0,connecticut
58,13.1,connecticut
59,11.5,connecticut
60,15.3,connecticut
61,12.4,connecticut
62,7.0,connecticut
63,6.6,connecticut
64,7.8,connecticut
65,13.0,connecticut
66,8.9,connecticut
67,12.0,connecticut
68,14.1,connecticut
69,9.1,connecticut
70,20.5,connecticut
71,25.7,connecticut
72,42.9,connecticut
73,27.1,connecticut
74,36.5,connecticut
75,43.7,connecticut
76,7.8,connecticut
77,16.0,connecticut
78,9.5,connecticut
79,23.6,connecticut
80,9.9,connecticut
81,13.5,connecticut
82,21.1,connecticut
83,20.3,connecticut
84,41.9,connecticut
85,15.2,connecticut
86,9.2,connecticut
87,10.0,connecticut
88,16.5,connecticut
89,10.6,connecticut
90,18.3,connecticut
91,18.5,connecticut
92,25.9,connecticut
93,19.1,connecticut
94,25.2,connecticut
95,58.6,connecticut
96,29.7,connecticut
97,37.6,connecticut
98,7.8,connecticut
99,22.7,connecticut
100,15.5,connecticut
101,6.3,connecticut
102,12.4,connecticut
103,10.1,connecticut
104,19.4,connecticut
105,12.0,connecticut
106,10.1,connecticut
107,20.1,connecticut
108,15.3,connecticut
109,44.4,connecticut
110,55.4,connecticut
111,14.8,connecticut
112,14.6,connecticut
