district,"management, business, science, and arts occupations",service occupations,sales and office occupations,blue collar occupations,state
1,0.2823,0.236,0.281,0.2008,alaska
2,0.3377,0.2091,0.2682,0.185,alaska
3,0.3624,0.1202,0.2143,0.3031,alaska
4,0.4297,0.1777,0.1743,0.2184,alaska
5,0.4315,0.1362,0.2408,0.1915,alaska
6,0.3453,0.2001,0.1413,0.3133,alaska
7,0.3157,0.1905,0.2214,0.2724,alaska
8,0.2769,0.1636,0.1974,0.3622,alaska
9,0.3177,0.1916,0.2075,0.2832,alaska
10,0.3179,0.1685,0.2007,0.3129,alaska
11,0.3537,0.1806,0.2394,0.2263,alaska
12,0.3623,0.1622,0.2279,0.2476,alaska
13,0.3917,0.1917,0.1932,0.2235,alaska
14,0.5154,0.0854,0.1982,0.201,alaska
15,0.2782,0.2106,0.2681,0.2432,alaska
16,0.3693,0.1934,0.2696,0.1677,alaska
17,0.3806,0.2105,0.2491,0.1598,alaska
18,0.3366,0.2465,0.2505,0.1665,alaska
19,0.2539,0.2886,0.2847,0.1728,alaska
20,0.4277,0.2183,0.1981,0.1559,alaska
21,0.401,0.1534,0.2307,0.2149,alaska
22,0.3988,0.154,0.2579,0.1893,alaska
23,0.3152,0.2292,0.2211,0.2345,alaska
24,0.4457,0.1088,0.2748,0.1708,alaska
25,0.4299,0.1456,0.2422,0.1823,alaska
26,0.453,0.1458,0.2062,0.1951,alaska
27,0.4145,0.1883,0.2398,0.1573,alaska
28,0.5756,0.1239,0.1826,0.1178,alaska
29,0.2954,0.2174,0.2054,0.2817,alaska
30,0.325,0.1833,0.2223,0.2694,alaska
31,0.3121,0.1766,0.2149,0.2964,alaska
32,0.2945,0.1696,0.1954,0.3405,alaska
33,0.4471,0.175,0.1971,0.1808,alaska
34,0.4322,0.1441,0.234,0.1897,alaska
35,0.3462,0.1582,0.1922,0.3034,alaska
36,0.3035,0.1708,0.261,0.2648,alaska
37,0.2328,0.1468,0.1589,0.4615,alaska
38,0.3524,0.1909,0.2497,0.2071,alaska
39,0.3296,0.2267,0.2192,0.2244,alaska
40,0.299,0.1797,0.1832,0.338,alaska
1,0.2851,0.194,0.2569,0.264,arkansas
2,0.2884,0.1399,0.2446,0.3271,arkansas
3,0.2531,0.185,0.1865,0.3754,arkansas
4,0.2165,0.1605,0.1814,0.4417,arkansas
5,0.2309,0.2143,0.2018,0.3529,arkansas
6,0.3308,0.1302,0.259,0.28,arkansas
7,0.31,0.1621,0.2088,0.3191,arkansas
8,0.2666,0.179,0.1662,0.3881,arkansas
9,0.3008,0.1767,0.2215,0.301,arkansas
10,0.3255,0.1568,0.2125,0.3052,arkansas
11,0.2759,0.1797,0.2311,0.3133,arkansas
12,0.2578,0.2137,0.2538,0.2747,arkansas
13,0.269,0.1852,0.1982,0.3476,arkansas
14,0.2984,0.1535,0.2287,0.3193,arkansas
15,0.3048,0.1544,0.2343,0.3065,arkansas
16,0.2876,0.205,0.2334,0.274,arkansas
17,0.2383,0.2535,0.1967,0.3115,arkansas
18,0.3259,0.2009,0.2435,0.2297,arkansas
19,0.2936,0.1565,0.1732,0.3766,arkansas
20,0.2936,0.1478,0.2138,0.3448,arkansas
21,0.2804,0.1823,0.2111,0.3263,arkansas
22,0.3224,0.189,0.2425,0.2461,arkansas
23,0.4074,0.1407,0.2615,0.1904,arkansas
24,0.2979,0.204,0.2904,0.2077,arkansas
25,0.3185,0.221,0.2518,0.2087,arkansas
26,0.3113,0.1906,0.2321,0.266,arkansas
27,0.2978,0.1678,0.3068,0.2275,arkansas
28,0.2972,0.1861,0.2593,0.2574,arkansas
29,0.2202,0.2525,0.2275,0.2999,arkansas
30,0.3607,0.1911,0.2777,0.1705,arkansas
31,0.45,0.1303,0.2589,0.1607,arkansas
32,0.5914,0.1082,0.2229,0.0775,arkansas
33,0.5082,0.1591,0.2302,0.1025,arkansas
34,0.3754,0.219,0.2576,0.1481,arkansas
35,0.511,0.1235,0.2537,0.1118,arkansas
36,0.2618,0.2083,0.236,0.2939,arkansas
37,0.2933,0.2602,0.2392,0.2073,arkansas
38,0.459,0.1377,0.2375,0.1659,arkansas
39,0.4594,0.1273,0.2819,0.1314,arkansas
40,0.3137,0.1795,0.2367,0.2702,arkansas
41,0.3736,0.1373,0.3098,0.1793,arkansas
42,0.3177,0.1976,0.2769,0.2078,arkansas
43,0.3944,0.1342,0.2493,0.2221,arkansas
44,0.3083,0.1875,0.217,0.2872,arkansas
45,0.3,0.1768,0.215,0.3081,arkansas
46,0.369,0.2141,0.2302,0.1868,arkansas
47,0.261,0.1661,0.2045,0.3683,arkansas
48,0.2179,0.2099,0.2165,0.3558,arkansas
49,0.2594,0.1965,0.2362,0.3079,arkansas
50,0.2677,0.1893,0.2213,0.3217,arkansas
51,0.3287,0.151,0.2562,0.2641,arkansas
52,0.2754,0.1656,0.2224,0.3365,arkansas
53,0.2999,0.1358,0.2505,0.3138,arkansas
54,0.2876,0.1605,0.2179,0.3341,arkansas
55,0.2193,0.1811,0.2169,0.3827,arkansas
56,0.2323,0.168,0.2273,0.3724,arkansas
57,0.3018,0.1468,0.2211,0.3304,arkansas
58,0.4005,0.1611,0.2656,0.1729,arkansas
59,0.2785,0.1931,0.1845,0.3438,arkansas
60,0.2688,0.1864,0.2257,0.3191,arkansas
61,0.3084,0.1924,0.1857,0.3136,arkansas
62,0.2566,0.2016,0.2011,0.3408,arkansas
63,0.3138,0.1848,0.2,0.3014,arkansas
64,0.2969,0.1899,0.1748,0.3384,arkansas
65,0.278,0.1637,0.2253,0.3331,arkansas
66,0.279,0.1644,0.232,0.3245,arkansas
67,0.3495,0.1378,0.261,0.2516,arkansas
68,0.3157,0.1833,0.1877,0.3133,arkansas
69,0.2645,0.1581,0.2002,0.3772,arkansas
70,0.4035,0.1701,0.2746,0.1518,arkansas
71,0.2771,0.1866,0.253,0.2832,arkansas
72,0.3349,0.1854,0.2477,0.2321,arkansas
73,0.2568,0.1612,0.1996,0.3824,arkansas
74,0.2941,0.1953,0.1845,0.326,arkansas
75,0.3026,0.1569,0.2346,0.3059,arkansas
76,0.3679,0.152,0.2649,0.2152,arkansas
77,0.2909,0.2177,0.2538,0.2376,arkansas
78,0.1412,0.2101,0.2276,0.421,arkansas
79,0.2947,0.1903,0.258,0.257,arkansas
80,0.3081,0.1282,0.2731,0.2906,arkansas
81,0.3022,0.1589,0.2288,0.31,arkansas
82,0.2685,0.1711,0.2099,0.3505,arkansas
83,0.2584,0.1851,0.2046,0.3519,arkansas
84,0.483,0.153,0.2368,0.1272,arkansas
85,0.4084,0.1701,0.2809,0.1405,arkansas
86,0.4342,0.2083,0.2426,0.1149,arkansas
87,0.3414,0.1538,0.2294,0.2754,arkansas
88,0.373,0.1212,0.2056,0.3002,arkansas
89,0.1243,0.1647,0.1846,0.5264,arkansas
90,0.3874,0.1245,0.2583,0.2298,arkansas
91,0.4385,0.1087,0.2709,0.1819,arkansas
92,0.3589,0.1247,0.2782,0.2383,arkansas
93,0.485,0.1004,0.2764,0.1382,arkansas
94,0.2856,0.1795,0.2682,0.2667,arkansas
95,0.3454,0.1459,0.2736,0.2351,arkansas
96,0.2514,0.1621,0.2584,0.3281,arkansas
97,0.3396,0.1625,0.2161,0.2817,arkansas
98,0.2851,0.1823,0.2169,0.3156,arkansas
99,0.2116,0.2059,0.2468,0.3358,arkansas
100,0.3057,0.1999,0.225,0.2693,arkansas
1,0.3378,0.2179,0.2411,0.2032,california
2,0.348,0.2231,0.2266,0.2023,california
3,0.3063,0.2159,0.2289,0.2489,california
4,0.3736,0.2085,0.2067,0.2112,california
5,0.3172,0.2122,0.2278,0.2428,california
6,0.4767,0.1461,0.2596,0.1176,california
7,0.3776,0.1973,0.2472,0.1778,california
8,0.365,0.1974,0.2638,0.1739,california
9,0.3425,0.2073,0.2478,0.2024,california
10,0.4539,0.1738,0.2255,0.1468,california
11,0.3158,0.2051,0.2601,0.219,california
12,0.3023,0.1766,0.2402,0.2809,california
13,0.2659,0.1913,0.2463,0.2965,california
14,0.3792,0.2032,0.2412,0.1764,california
15,0.5181,0.1597,0.1919,0.1303,california
16,0.5987,0.1063,0.2118,0.0832,california
17,0.552,0.1721,0.188,0.0878,california
18,0.3853,0.2111,0.2188,0.1849,california
19,0.4816,0.1776,0.2313,0.1094,california
20,0.4058,0.1657,0.2311,0.1974,california
21,0.2176,0.1917,0.2116,0.3792,california
22,0.4932,0.1571,0.2194,0.1303,california
23,0.3713,0.1872,0.2574,0.1841,california
24,0.6393,0.1306,0.1484,0.0817,california
25,0.5302,0.1318,0.1865,0.1514,california
26,0.2473,0.1881,0.2026,0.362,california
27,0.3356,0.2256,0.2119,0.227,california
28,0.5799,0.1244,0.1981,0.0976,california
29,0.4505,0.1841,0.2177,0.1477,california
30,0.2434,0.1898,0.2138,0.3531,california
31,0.1856,0.2066,0.1953,0.4125,california
32,0.1593,0.1938,0.1789,0.468,california
33,0.2596,0.2131,0.2521,0.2752,california
34,0.335,0.1831,0.2264,0.2555,california
35,0.3225,0.2053,0.218,0.2543,california
36,0.3119,0.2062,0.2292,0.2527,california
37,0.3945,0.2065,0.2224,0.1766,california
38,0.4499,0.1492,0.2555,0.1454,california
39,0.2653,0.2245,0.2382,0.2721,california
40,0.3508,0.1792,0.2523,0.2177,california
41,0.4916,0.1557,0.2274,0.1253,california
42,0.3193,0.2302,0.2465,0.204,california
43,0.4752,0.167,0.2324,0.1254,california
44,0.3714,0.1687,0.2323,0.2276,california
45,0.4283,0.1763,0.2477,0.1477,california
46,0.3828,0.202,0.2277,0.1875,california
47,0.2083,0.1908,0.258,0.3429,california
48,0.2732,0.2014,0.2628,0.2626,california
49,0.3547,0.1946,0.2682,0.1824,california
50,0.6172,0.1197,0.2135,0.0497,california
51,0.2942,0.2205,0.2358,0.2494,california
52,0.2334,0.1923,0.2571,0.3172,california
53,0.245,0.2591,0.2202,0.2758,california
54,0.4645,0.1914,0.2282,0.116,california
55,0.4432,0.1385,0.2781,0.1402,california
56,0.2046,0.2999,0.2293,0.2662,california
57,0.296,0.1734,0.2799,0.2507,california
58,0.2785,0.1814,0.2796,0.2605,california
59,0.1337,0.2555,0.2261,0.3847,california
60,0.2824,0.1772,0.2642,0.2762,california
61,0.2725,0.1854,0.2552,0.2868,california
62,0.3618,0.2162,0.2502,0.1718,california
63,0.1988,0.198,0.2667,0.3366,california
64,0.1891,0.2251,0.2468,0.3389,california
65,0.3413,0.1898,0.2571,0.2118,california
66,0.4975,0.1317,0.2457,0.1251,california
67,0.3278,0.2043,0.2543,0.2137,california
68,0.471,0.1474,0.252,0.1295,california
69,0.1914,0.2709,0.2362,0.3016,california
70,0.372,0.1966,0.2358,0.1956,california
71,0.3381,0.1994,0.2607,0.2017,california
72,0.3514,0.1947,0.2499,0.2039,california
73,0.4968,0.1431,0.2599,0.1002,california
74,0.5278,0.1351,0.2435,0.0936,california
75,0.3433,0.2127,0.2375,0.2065,california
76,0.4113,0.1853,0.2326,0.1707,california
77,0.5633,0.1316,0.2077,0.0974,california
78,0.5458,0.1593,0.2092,0.0857,california
79,0.3757,0.2235,0.24,0.1607,california
80,0.2224,0.2803,0.254,0.2433,california
1,0.2801,0.2279,0.2331,0.2589,colorado
2,0.5743,0.1332,0.2236,0.0689,colorado
3,0.4536,0.1452,0.2551,0.146,colorado
4,0.4214,0.1945,0.1892,0.1948,colorado
5,0.4074,0.1979,0.2074,0.1873,colorado
6,0.5537,0.1409,0.2153,0.0901,colorado
7,0.34,0.1763,0.2309,0.2528,colorado
8,0.5382,0.1604,0.1974,0.104,colorado
9,0.4369,0.1717,0.2671,0.1243,colorado
10,0.5617,0.1721,0.1949,0.0714,colorado
11,0.4478,0.169,0.2139,0.1693,colorado
12,0.5205,0.1487,0.2007,0.13,colorado
13,0.4979,0.1707,0.1796,0.1518,colorado
14,0.5336,0.1459,0.2296,0.0909,colorado
15,0.396,0.1873,0.2579,0.1588,colorado
16,0.3676,0.1981,0.2754,0.1589,colorado
17,0.2223,0.247,0.2707,0.26,colorado
18,0.3955,0.2002,0.2378,0.1664,colorado
19,0.5032,0.1299,0.1994,0.1674,colorado
20,0.5096,0.1548,0.219,0.1166,colorado
21,0.2988,0.2096,0.2659,0.2256,colorado
22,0.4777,0.1243,0.2699,0.128,colorado
23,0.4125,0.1827,0.241,0.1638,colorado
24,0.4571,0.1582,0.2377,0.1471,colorado
25,0.5293,0.1252,0.2134,0.1322,colorado
26,0.3241,0.2575,0.2254,0.193,colorado
27,0.4786,0.1525,0.227,0.1419,colorado
28,0.3876,0.1797,0.2602,0.1725,colorado
29,0.402,0.1491,0.2692,0.1798,colorado
30,0.2682,0.1932,0.2338,0.3048,colorado
31,0.3088,0.1803,0.2634,0.2475,colorado
32,0.207,0.2181,0.2409,0.334,colorado
33,0.5446,0.1245,0.2133,0.1176,colorado
34,0.2954,0.2006,0.241,0.263,colorado
35,0.3581,0.1565,0.2496,0.2358,colorado
36,0.3766,0.1746,0.2764,0.1724,colorado
37,0.5419,0.1112,0.2417,0.1052,colorado
38,0.5159,0.1226,0.2505,0.111,colorado
39,0.4969,0.1342,0.2461,0.1228,colorado
40,0.3871,0.1681,0.2614,0.1834,colorado
41,0.3528,0.2071,0.2662,0.1739,colorado
42,0.1996,0.2657,0.2298,0.305,colorado
43,0.5751,0.1017,0.2517,0.0715,colorado
44,0.5151,0.1341,0.2561,0.0948,colorado
45,0.5076,0.1229,0.2503,0.1192,colorado
46,0.3089,0.2274,0.2524,0.2114,colorado
47,0.3285,0.2051,0.2449,0.2215,colorado
48,0.361,0.1432,0.2336,0.2623,colorado
49,0.4614,0.1313,0.2176,0.1898,colorado
50,0.2049,0.2241,0.2582,0.3129,colorado
51,0.3746,0.1825,0.237,0.2059,colorado
52,0.4763,0.1698,0.2261,0.1279,colorado
53,0.4087,0.2099,0.239,0.1425,colorado
54,0.3096,0.1907,0.2202,0.2795,colorado
55,0.332,0.188,0.2677,0.2123,colorado
56,0.3961,0.1413,0.2481,0.2145,colorado
57,0.2961,0.1994,0.2127,0.2918,colorado
58,0.3197,0.2094,0.2253,0.2456,colorado
59,0.3919,0.1935,0.2134,0.2012,colorado
60,0.3296,0.2273,0.228,0.2152,colorado
61,0.3406,0.2472,0.2069,0.2054,colorado
62,0.2759,0.2111,0.2411,0.2719,colorado
63,0.3706,0.1559,0.2194,0.2542,colorado
64,0.3628,0.1894,0.212,0.2358,colorado
65,0.269,0.1907,0.2134,0.3269,colorado
1,0.3244,0.2664,0.2411,0.1681,connecticut
2,0.4806,0.164,0.2178,0.1376,connecticut
3,0.1993,0.2879,0.2354,0.2775,connecticut
4,0.3286,0.2279,0.2392,0.2043,connecticut
5,0.2939,0.2433,0.2759,0.1869,connecticut
6,0.2187,0.2945,0.2354,0.2515,connecticut
7,0.3013,0.2731,0.2345,0.1912,connecticut
8,0.4545,0.1346,0.2282,0.1827,connecticut
9,0.3649,0.1981,0.2337,0.2033,connecticut
10,0.2793,0.2181,0.2505,0.2522,connecticut
11,0.3698,0.1783,0.2417,0.2102,connecticut
12,0.4093,0.1739,0.2646,0.1521,connecticut
13,0.4834,0.1601,0.2498,0.1067,connecticut
14,0.5401,0.1182,0.2337,0.108,connecticut
15,0.4637,0.1676,0.2404,0.1283,connecticut
