district,percent of tot. population in poverty,state
1,10.1,alaska
2,8.2,alaska
3,5.5,alaska
4,4.1,alaska
5,5.8,alaska
6,11.4,alaska
7,13.1,alaska
8,12.0,alaska
9,7.7,alaska
10,10.3,alaska
11,9.6,alaska
12,6.2,alaska
13,10.2,alaska
14,2.6,alaska
15,14.9,alaska
16,11.9,alaska
17,12.5,alaska
18,7.5,alaska
19,26.7,alaska
20,13.7,alaska
21,8.2,alaska
22,2.9,alaska
23,6.3,alaska
24,6.5,alaska
25,4.3,alaska
26,5.2,alaska
27,5.4,alaska
28,3.0,alaska
29,13.4,alaska
30,13.8,alaska
31,10.8,alaska
32,7.2,alaska
33,11.0,alaska
34,3.4,alaska
35,9.0,alaska
36,10.2,alaska
37,13.2,alaska
38,28.9,alaska
39,28.4,alaska
40,15.8,alaska
1,21.2,arkansas
2,14.9,arkansas
3,21.1,arkansas
4,17.6,arkansas
5,31.7,arkansas
6,13.8,arkansas
7,22.5,arkansas
8,14.9,arkansas
9,19.3,arkansas
10,12.9,arkansas
11,25.7,arkansas
12,28.9,arkansas
13,13.6,arkansas
14,14.6,arkansas
15,11.5,arkansas
16,20.4,arkansas
17,28.3,arkansas
18,17.1,arkansas
19,19.0,arkansas
20,20.3,arkansas
21,15.7,arkansas
22,15.7,arkansas
23,8.8,arkansas
24,12.4,arkansas
25,25.7,arkansas
26,15.1,arkansas
27,9.7,arkansas
28,8.3,arkansas
29,23.6,arkansas
30,13.4,arkansas
31,5.8,arkansas
32,7.2,arkansas
33,13.7,arkansas
34,23.0,arkansas
35,10.3,arkansas
36,25.2,arkansas
37,35.5,arkansas
38,12.4,arkansas
39,13.0,arkansas
40,12.2,arkansas
41,8.1,arkansas
42,19.9,arkansas
43,11.6,arkansas
44,10.7,arkansas
45,11.1,arkansas
46,18.2,arkansas
47,18.9,arkansas
48,28.8,arkansas
49,22.0,arkansas
50,23.6,arkansas
51,17.2,arkansas
52,17.2,arkansas
53,17.0,arkansas
54,18.2,arkansas
55,25.6,arkansas
56,17.5,arkansas
57,18.5,arkansas
58,16.1,arkansas
59,23.1,arkansas
60,14.0,arkansas
61,20.3,arkansas
62,17.8,arkansas
63,14.2,arkansas
64,17.3,arkansas
65,19.7,arkansas
66,14.1,arkansas
67,10.3,arkansas
68,13.5,arkansas
69,17.6,arkansas
70,17.7,arkansas
71,18.8,arkansas
72,22.1,arkansas
73,14.1,arkansas
74,16.6,arkansas
75,13.6,arkansas
76,11.8,arkansas
77,12.0,arkansas
78,32.6,arkansas
79,17.2,arkansas
80,13.9,arkansas
81,13.5,arkansas
82,19.9,arkansas
83,12.3,arkansas
84,12.9,arkansas
85,17.6,arkansas
86,29.0,arkansas
87,13.2,arkansas
88,14.3,arkansas
89,19.5,arkansas
90,7.0,arkansas
91,7.0,arkansas
92,5.6,arkansas
93,7.3,arkansas
94,14.0,arkansas
95,6.3,arkansas
96,9.1,arkansas
97,12.7,arkansas
98,18.3,arkansas
99,16.8,arkansas
100,11.3,arkansas
1,13.1,california
2,14.0,california
3,16.5,california
4,13.3,california
5,13.4,california
6,6.4,california
7,16.1,california
8,14.4,california
9,13.3,california
10,7.9,california
11,9.1,california
12,11.4,california
13,14.7,california
14,9.3,california
15,11.4,california
16,4.4,california
17,11.9,california
18,13.7,california
19,7.3,california
20,7.5,california
21,17.6,california
22,5.9,california
23,14.1,california
24,6.0,california
25,6.5,california
26,21.6,california
27,10.2,california
28,5.8,california
29,9.2,california
30,11.5,california
31,28.2,california
32,24.9,california
33,19.2,california
34,15.0,california
35,11.6,california
36,17.4,california
37,11.4,california
38,7.6,california
39,14.0,california
40,14.5,california
41,9.8,california
42,15.4,california
43,12.9,california
44,9.0,california
45,11.5,california
46,15.0,california
47,15.0,california
48,10.7,california
49,12.0,california
50,9.7,california
51,16.4,california
52,14.3,california
53,25.2,california
54,14.3,california
55,7.7,california
56,20.3,california
57,9.9,california
58,10.9,california
59,26.7,california
60,10.3,california
61,13.9,california
62,13.9,california
63,16.0,california
64,19.7,california
65,12.6,california
66,7.3,california
67,9.4,california
68,8.2,california
69,14.1,california
70,15.0,california
71,11.7,california
72,11.6,california
73,5.5,california
74,10.5,california
75,10.2,california
76,8.8,california
77,6.0,california
78,11.7,california
79,12.1,california
80,15.6,california
1,13.7,colorado
2,9.1,colorado
3,9.3,colorado
4,16.1,colorado
5,17.8,colorado
6,8.9,colorado
7,9.4,colorado
8,11.0,colorado
9,9.2,colorado
10,17.8,colorado
11,7.9,colorado
12,5.7,colorado
13,14.5,colorado
14,5.6,colorado
15,6.2,colorado
16,11.6,colorado
17,20.9,colorado
18,14.4,colorado
19,4.4,colorado
20,8.6,colorado
21,8.8,colorado
22,3.7,colorado
23,9.7,colorado
24,11.5,colorado
25,3.8,colorado
26,9.3,colorado
27,3.9,colorado
28,8.1,colorado
29,6.8,colorado
30,11.8,colorado
31,8.2,colorado
32,13.6,colorado
33,4.9,colorado
34,11.2,colorado
35,7.5,colorado
36,7.2,colorado
37,2.6,colorado
38,5.2,colorado
39,4.9,colorado
40,7.6,colorado
41,9.3,colorado
42,14.9,colorado
43,2.9,colorado
44,3.5,colorado
45,3.1,colorado
46,16.8,colorado
47,15.4,colorado
48,5.7,colorado
49,5.7,colorado
50,21.8,colorado
51,7.7,colorado
52,10.4,colorado
53,21.1,colorado
54,14.2,colorado
55,12.5,colorado
56,5.0,colorado
57,9.5,colorado
58,12.0,colorado
59,10.5,colorado
60,11.3,colorado
61,10.0,colorado
62,21.5,colorado
63,6.0,colorado
64,13.1,colorado
65,10.7,colorado
1,29.0,connecticut
2,4.4,connecticut
3,31.3,connecticut
4,31.6,connecticut
5,16.8,connecticut
6,18.7,connecticut
7,26.4,connecticut
8,3.7,connecticut
9,12.8,connecticut
10,15.3,connecticut
11,9.2,connecticut
12,8.8,connecticut
13,11.1,connecticut
14,4.0,connecticut
15,7.1,connecticut
16,5.3,connecticut
17,4.0,connecticut
18,7.6,connecticut
19,3.4,connecticut
20,7.9,connecticut
21,7.9,connecticut
22,13.2,connecticut
23,3.7,connecticut
24,12.2,connecticut
25,27.1,connecticut
26,17.5,connecticut
27,9.2,connecticut
28,5.9,connecticut
29,3.5,connecticut
30,4.4,connecticut
31,1.9,connecticut
32,6.9,connecticut
33,11.0,connecticut
34,4.5,connecticut
35,5.0,connecticut
36,3.9,connecticut
37,5.1,connecticut
38,6.2,connecticut
39,25.1,connecticut
40,8.8,connecticut
41,12.1,connecticut
42,4.8,connecticut
43,4.9,connecticut
44,12.6,connecticut
45,6.7,connecticut
46,10.6,connecticut
47,4.8,connecticut
48,6.8,connecticut
49,25.2,connecticut
50,6.2,connecticut
51,8.3,connecticut
52,3.6,connecticut
53,7.4,connecticut
54,31.7,connecticut
55,5.1,connecticut
56,11.2,connecticut
57,7.0,connecticut
58,9.8,connecticut
59,4.1,connecticut
60,7.1,connecticut
61,2.2,connecticut
62,2.5,connecticut
63,9.6,connecticut
64,8.1,connecticut
65,14.5,connecticut
66,5.1,connecticut
67,6.9,connecticut
68,5.4,connecticut
69,5.5,connecticut
70,6.1,connecticut
71,9.8,connecticut
72,23.7,connecticut
73,16.5,connecticut
74,16.6,connecticut
75,34.8,connecticut
76,3.6,connecticut
77,8.6,connecticut
78,7.1,connecticut
79,12.9,connecticut
80,3.1,connecticut
81,5.5,connecticut
82,6.6,connecticut
83,5.3,connecticut
84,19.8,connecticut
85,8.1,connecticut
86,2.7,connecticut
87,4.5,connecticut
88,7.0,connecticut
89,1.5,connecticut
90,4.1,connecticut
91,8.0,connecticut
92,22.3,connecticut
93,27.2,connecticut
94,23.6,connecticut
95,34.1,connecticut
96,17.7,connecticut
97,18.4,connecticut
98,2.7,connecticut
99,8.9,connecticut
100,13.7,connecticut
101,3.2,connecticut
102,5.7,connecticut
103,3.3,connecticut
104,15.7,connecticut
105,5.0,connecticut
106,3.5,connecticut
107,4.0,connecticut
108,5.7,connecticut
109,11.4,connecticut
110,16.9,connecticut
111,2.8,connecticut
112,2.9,connecticut
113,6.1,connecticut
114,3.4,connecticut
115,12.5,connecticut
116,15.2,connecticut
117,3.2,connecticut
118,4.3,connecticut
119,3.8,connecticut
120,5.3,connecticut
121,10.1,connecticut
122,3.8,connecticut
123,4.6,connecticut
124,25.7,connecticut
125,2.3,connecticut
126,15.5,connecticut
127,14.4,connecticut
128,31.2,connecticut
129,19.8,connecticut
130,32.3,connecticut
131,3.7,connecticut
132,5.6,connecticut
133,7.1,connecticut
134,1.3,connecticut
135,2.9,connecticut
136,3.4,connecticut
137,9.7,connecticut
138,5.0,connecticut
139,8.9,connecticut
140,13.8,connecticut
141,3.3,connecticut
