district,percent female,state
1,0.4755,alaska
2,0.4379,alaska
3,0.4623,alaska
4,0.4416,alaska
5,0.4618,alaska
6,0.4397,alaska
7,0.4831,alaska
8,0.4577,alaska
9,0.4273,alaska
10,0.4654,alaska
11,0.4995,alaska
12,0.4941,alaska
13,0.4087,alaska
14,0.4944,alaska
15,0.433,alaska
16,0.5001,alaska
17,0.4548,alaska
18,0.4825,alaska
19,0.5215,alaska
20,0.4864,alaska
21,0.5267,alaska
22,0.493,alaska
23,0.4774,alaska
24,0.5238,alaska
25,0.5121,alaska
26,0.4861,alaska
27,0.4937,alaska
28,0.4991,alaska
29,0.4227,alaska
30,0.5041,alaska
31,0.4988,alaska
32,0.4542,alaska
33,0.4613,alaska
34,0.5057,alaska
35,0.4666,alaska
36,0.4805,alaska
37,0.395,alaska
38,0.4759,alaska
39,0.4665,alaska
40,0.3801,alaska
1,0.5228,arkansas
2,0.517,arkansas
3,0.5204,arkansas
4,0.5244,arkansas
5,0.5472,arkansas
6,0.5245,arkansas
7,0.5179,arkansas
8,0.5152,arkansas
9,0.5315,arkansas
10,0.5311,arkansas
11,0.5316,arkansas
12,0.4378,arkansas
13,0.5332,arkansas
14,0.4626,arkansas
15,0.5117,arkansas
16,0.5684,arkansas
17,0.5154,arkansas
18,0.5228,arkansas
19,0.5151,arkansas
20,0.5196,arkansas
21,0.4964,arkansas
22,0.529,arkansas
23,0.5123,arkansas
24,0.531,arkansas
25,0.5398,arkansas
26,0.4831,arkansas
27,0.5159,arkansas
28,0.507,arkansas
29,0.5473,arkansas
30,0.5862,arkansas
31,0.5152,arkansas
32,0.5265,arkansas
33,0.4908,arkansas
34,0.5358,arkansas
35,0.5172,arkansas
36,0.502,arkansas
37,0.5668,arkansas
38,0.5253,arkansas
39,0.5623,arkansas
40,0.5102,arkansas
41,0.5299,arkansas
42,0.5332,arkansas
43,0.5128,arkansas
44,0.4956,arkansas
45,0.5167,arkansas
46,0.538,arkansas
47,0.5279,arkansas
48,0.4188,arkansas
49,0.5333,arkansas
50,0.5306,arkansas
51,0.5516,arkansas
52,0.4891,arkansas
53,0.5232,arkansas
54,0.5131,arkansas
55,0.5335,arkansas
56,0.5052,arkansas
57,0.5248,arkansas
58,0.5367,arkansas
59,0.5238,arkansas
60,0.5039,arkansas
61,0.5106,arkansas
62,0.4921,arkansas
63,0.5299,arkansas
64,0.5066,arkansas
65,0.5104,arkansas
66,0.5086,arkansas
67,0.5195,arkansas
68,0.4988,arkansas
69,0.5089,arkansas
70,0.5152,arkansas
71,0.5234,arkansas
72,0.5321,arkansas
73,0.5257,arkansas
74,0.5073,arkansas
75,0.5238,arkansas
76,0.5318,arkansas
77,0.5133,arkansas
78,0.5056,arkansas
79,0.5357,arkansas
80,0.4869,arkansas
81,0.5154,arkansas
82,0.503,arkansas
83,0.4968,arkansas
84,0.5138,arkansas
85,0.5331,arkansas
86,0.4855,arkansas
87,0.5296,arkansas
88,0.489,arkansas
89,0.5223,arkansas
90,0.5027,arkansas
91,0.5179,arkansas
92,0.5211,arkansas
93,0.499,arkansas
94,0.519,arkansas
95,0.5105,arkansas
96,0.5198,arkansas
97,0.5047,arkansas
98,0.519,arkansas
99,0.5147,arkansas
100,0.5305,arkansas
1,0.4974,california
2,0.5053,california
3,0.5095,california
4,0.5187,california
5,0.5046,california
6,0.5124,california
7,0.515,california
8,0.5296,california
9,0.5246,california
10,0.5223,california
11,0.5079,california
12,0.518,california
13,0.5154,california
14,0.5204,california
15,0.5281,california
16,0.5208,california
17,0.4696,california
18,0.5263,california
19,0.5168,california
20,0.5159,california
21,0.5019,california
22,0.5181,california
23,0.5211,california
24,0.5097,california
25,0.4979,california
26,0.5154,california
27,0.4966,california
28,0.5088,california
29,0.5125,california
30,0.4954,california
31,0.4983,california
32,0.447,california
33,0.508,california
34,0.5032,california
35,0.4986,california
36,0.5062,california
37,0.5141,california
38,0.5012,california
39,0.5102,california
40,0.5161,california
41,0.5268,california
42,0.5037,california
43,0.5186,california
44,0.515,california
45,0.5194,california
46,0.5143,california
47,0.5159,california
48,0.5155,california
