feature,baseline,5_ordinal_uniform,5_ordinal_quantile,5_ordinal_kmeans,5_onehot_uniform,5_onehot_quantile,5_onehot_kmeans,6_ordinal_uniform,6_ordinal_quantile,6_ordinal_kmeans,6_onehot_uniform,6_onehot_quantile,6_onehot_kmeans,7_ordinal_uniform,7_ordinal_quantile,7_ordinal_kmeans,7_onehot_uniform,7_onehot_quantile,7_onehot_kmeans,8_ordinal_uniform,8_ordinal_quantile,8_ordinal_kmeans,8_onehot_uniform,8_onehot_quantile,8_onehot_kmeans,9_ordinal_uniform,9_ordinal_quantile,9_ordinal_kmeans,9_onehot_uniform,9_onehot_quantile,9_onehot_kmeans,10_ordinal_uniform,10_ordinal_quantile,10_ordinal_kmeans,10_onehot_uniform,10_onehot_quantile,10_onehot_kmeans,p_values
percent households receiving food stamps,0.6372468697598257,0.6417177978563786,0.6558846310216782,0.6423930649361282,0.6362112548980501,0.6406888680719499,0.6321047358135622,0.6410754602299107,0.6546285645788785,0.6439853744968028,0.6334893249026842,0.6362013021610539,0.631527087551118,0.639764793211695,0.6531458981763791,0.6412520826651426,0.631602551033949,0.6325516321627602,0.6298177266010936,0.6390980988828775,0.6538394754287731,0.64259923150815,0.630533052928674,0.6319990431001189,0.6301445382046472,0.64077560133526,0.6537545807073534,0.6413463670250873,0.6311245094415593,0.6326560331070449,0.6299486942695741,0.6393691904931887,0.6530490289993994,0.6407233627368407,0.6304073929564054,0.6310622468115419,0.6295747997726956,0.008571574485236919
percent uninsured,0.6863225691540811,0.6857821822786314,0.6894748299198835,0.6876548286872592,0.6770030992714584,0.6837237748457727,0.6778434621673868,0.6862229930880445,0.6896042362474366,0.6875185975881332,0.6769819186237375,0.6834109953236821,0.6746546204765276,0.6859929049998279,0.6895081977158594,0.6875885165430812,0.6757382677790503,0.6818945431474149,0.6761254304425731,0.6866676891460931,0.6895234689247667,0.6873362985562836,0.6754488689943926,0.6808608516002377,0.6749460618690294,0.6865173038549891,0.6894831920032963,0.6872441866744424,0.6763940441332237,0.6798252896860991,0.6752949232534124,0.6859977822238807,0.6895006049463704,0.6871380606769859,0.6745695764710818,0.6784799225168149,0.6746895706900852,1.6192446792827922e-14
household language not english,0.5976697632630912,0.6149784453907745,0.6054080951320497,0.600958601148982,0.6119358382065272,0.5995741868672932,0.6010953539349811,0.6101190194230266,0.6049527484159957,0.6000956959948527,0.6070860176632681,0.5984690897884845,0.5989775692855767,0.6057807451418148,0.6055392080788425,0.5983574571381609,0.6019604360870159,0.5973462718103583,0.5975706917291028,0.6036363634052588,0.6041676209093813,0.5964124239906956,0.599300749704516,0.5951587496853138,0.5947213131805246,0.604008976295742,0.6041945045796772,0.5961829346522131,0.5996143595741277,0.5958559812118355,0.5942119852454962,0.6009505195371485,0.6023896556287103,0.5957532723555762,0.5962413491666155,0.5938843564762321,0.5936833321155923,0.1741428501736183
non-white,0.5413361892657598,0.5547423896985134,0.5681265828920414,0.5511970326531129,0.5530591262442834,0.5527686315278132,0.5463398656734101,0.549039400295193,0.5654259846516829,0.5477221203889008,0.5469943650525763,0.5455629524561927,0.5428693977670065,0.5469773963404209,0.5657510897529735,0.5449017903277971,0.5451328850789321,0.5434412626741111,0.5410984756762109,0.5451851974288933,0.5644958372387604,0.5458025394410623,0.5438403835742753,0.541651799227133,0.5427588655140616,0.5430699088882286,0.564792283226192,0.5451051574397358,0.5414249802285731,0.542119657463901,0.5421639176648111,0.5433982937207454,0.5646923262031633,0.5454047201598551,0.5416870383402582,0.5428672948338328,0.541882852464715,0.480978429544868
black/afroamerican,0.6122433088694859,0.6236732954251646,0.639638980949656,0.6222845456935798,0.6220801303804232,0.6332366550584533,0.6150753706030353,0.6236382309007753,0.6376977969752002,0.6197265230898684,0.6223156718653342,0.6273475713993409,0.6130126224954981,0.6223486105281073,0.6360454752159515,0.6181686729810496,0.6198135333219934,0.6220411255127606,0.6115332034386185,0.6203521133922086,0.63630349036601,0.6154598410169683,0.6190563618403228,0.6195694528757889,0.6093204763228784,0.6186647569468602,0.6357823323672519,0.6146256347792413,0.6169146917584031,0.6168712495539402,0.6086692744374187,0.6188217750769396,0.6357071394989561,0.6139077404307007,0.6178985968426173,0.6149498712829736,0.6097380133979656,0.15369056342636023
percent female,0.6581635637400776,0.6726964267482434,0.6571306196214004,0.6577717877693993,0.665360025614793,0.6477551520410021,0.6427753797580736,0.6635518009197611,0.6572271486467659,0.6592600485681294,0.6533592364181218,0.6459966145796449,0.6429745962705369,0.6660220711604531,0.6557072101467871,0.6592334926453675,0.6507264953165838,0.6434911419338195,0.642518879762646,0.66420979914148,0.6557819477298836,0.6574514185336415,0.6498489913033167,0.6416758339933932,0.640393448538953,0.6627037595249659,0.6557565703034212,0.6574122758621807,0.6483944189478822,0.6406188673022403,0.6394947208942354,0.6628073494270751,0.656013405278184,0.6575063511777526,0.6452845513904495,0.641289364032607,0.639261613299746,9.649789273583654e-07
under 20,0.6861743559047393,0.687047449430977,0.6865733122571654,0.6866828603230545,0.6831733701648602,0.6815692649110144,0.6792558327095352,0.68682733793714,0.6864226954520655,0.6867765000661348,0.6816048542597549,0.6808087386702508,0.6804435468689894,0.6867996155208063,0.6863769794536803,0.6872914503829345,0.6816768215210973,0.6808662557996332,0.6805135196776122,0.6857878607015492,0.6867220740102433,0.6866074325064772,0.6796286004403053,0.6801473361638612,0.679650706545283,0.687047945645059,0.6865478033706547,0.6867207435927658,0.6804903131420835,0.6799268728919956,0.6787837164162355,0.6865456161356777,0.6865243547629701,0.6871073993424786,0.6800720594545112,0.6800866643812877,0.6797116063639908,5.545250322181449e-06
20 to 34,0.5985240163225357,0.5988180863373588,0.5903646310593543,0.5951122087760027,0.5966685148453568,0.5835042705449301,0.5931801665312993,0.613136034762286,0.5891092016170659,0.595130835018291,0.6117481235246836,0.581041983291322,0.5890568162915685,0.636660572472132,0.5872383627101584,0.5929381374803103,0.631692996822336,0.5768101968359791,0.5823088376614193,0.6300454783789721,0.5869935588878723,0.5932381468205407,0.6205403949652065,0.5765503078159538,0.5812566582407789,0.6165082922134446,0.5873618686668223,0.5944294160292246,0.6027248491649002,0.5782725109395082,0.582081151485172,0.6049922734604453,0.5877066516005586,0.5936591720653756,0.5910397453881784,0.5772788418368106,0.5818677773012674,1.1061364669321728e-07
35 to 49,0.6895912066526012,0.6893527512820804,0.6878649923439871,0.6886980845678695,0.6870763544070706,0.6869806116749768,0.6846454310604285,0.6896870157816292,0.6882489669559448,0.6890438108478908,0.6872573825959893,0.6873902321030418,0.6857702831557195,0.6892698528046315,0.6881812855599881,0.6891644187334729,0.6841064662655991,0.6868555425330491,0.6843128644555312,0.6897117083787134,0.6880984738910806,0.6892252503699464,0.686336166153167,0.6875205820853038,0.6850904438014387,0.6896278486727068,0.6881435794834625,0.689268136063731,0.6849175408437049,0.6869583185851424,0.6847999125011588,0.6895596731836701,0.6882098244919618,0.6890572725280476,0.6861940392198781,0.6866652229644391,0.6840157501915072,1.736874058956416e-09
50 to 64,0.6595048032315309,0.6693310012675427,0.6548076871627437,0.6578710103080022,0.6675255657021579,0.6527050820262239,0.653682365343285,0.6643178962425286,0.6539987434279885,0.6578612299269604,0.6586504062689146,0.6517623303877184,0.6540970061271947,0.6642221549868119,0.6547501298641725,0.6556653475057972,0.6600922265622361,0.6522684550430217,0.6521588252070646,0.6619743904977344,0.6542480427077126,0.6584610707805967,0.6559204839139965,0.6519185728103942,0.6539130757292377,0.6621543621037962,0.653507729179808,0.6568603916100009,0.6562315629927239,0.6505089208979077,0.6517983656514459,0.662186577037966,0.6539906833413028,0.6562962549249067,0.6552225393949219,0.6511033364395662,0.6525220123291126,0.0010788641323841136
65 and over,0.6598057145698968,0.6696226213685278,0.6569581289396668,0.658856060093155,0.6685173672166445,0.6567410874865872,0.658060252574431,0.6701095219401593,0.6558379740084385,0.659061664840666,0.6697022705698398,0.6556740902964088,0.6576885442309951,0.6647573846234092,0.6568277805406285,0.6579149201889304,0.6634325695750928,0.6568742285239517,0.656547009508305,0.6641786758955761,0.6563459019447445,0.6592339041218046,0.6620928974267987,0.656628955729923,0.6580260061477986,0.6640646490368207,0.6559454166261627,0.6589599657923255,0.661861438610936,0.6559920963349616,0.6574009573472065,0.6620570681288636,0.6560220867253321,0.6575493641509813,0.6593553863238353,0.6563486904827348,0.6560240299121836,0.08372690710624765
median age,0.6492584480963508,0.655912369690258,0.6465281002543488,0.6497415571721719,0.651181248063357,0.6437644014095371,0.6458998531895156,0.6567080402061681,0.6454675485234797,0.6488018625141799,0.6516943784302005,0.6420134608399596,0.6445792936835331,0.654810868248257,0.6452641445280587,0.6489914794754139,0.6494718015331693,0.642759214153862,0.6441306295366516,0.6528290259993337,0.6452059609230629,0.6478670070868585,0.6472442813885687,0.642408917831862,0.6413930254577256,0.6515699341323437,0.6449031225788657,0.6487082354493139,0.6459597691689893,0.6424212683386114,0.6427762579067512,0.6515659373806518,0.6453681982468941,0.6493316018790357,0.6445705113593198,0.6430021835433624,0.6442295709137977,0.006070647861528175
monthly housing costs - $499 or lower,0.6556081735749569,0.6587091200393282,0.6523216369860926,0.6543257966376329,0.6525898629925653,0.6470002778232776,0.6477630233277695,0.656016661248934,0.6529336082960863,0.6524388807501436,0.6466113005495541,0.6462946752731218,0.6454850692519556,0.6580927564054175,0.6529820047269033,0.6532436374288747,0.6468304023023582,0.645251518202472,0.6438849539203918,0.6566868765906079,0.6523779810197445,0.6529668425567813,0.6449312166318584,0.6452454915974207,0.6436376073906949,0.6562946809473266,0.6522076255946538,0.6531008040917825,0.6440846786383732,0.6447779503852286,0.6421076110647795,0.6569438577794596,0.6531749210046608,0.6536391016016035,0.6442712805759678,0.6445733429518667,0.6429380681728566,5.011191654572236e-05
monthly housing costs - $500 - 999,0.6879338526173507,0.687974647763935,0.6878193014711663,0.6882080245506716,0.6659560855793658,0.6665626692449393,0.6564061050738104,0.6883184414232234,0.6879391892628799,0.6877656405607305,0.6577791197537348,0.6626488894104002,0.6550024644989626,0.6879815123910745,0.6879645579049678,0.6883395252756663,0.6563725376790038,0.658380988895924,0.6548742134054224,0.6878450524263852,0.6880180228854758,0.6881194518103512,0.6572716941031457,0.6551463455067609,0.6545700580332091,0.6881597116606508,0.6879681938000554,0.6881127263650181,0.6539517502394694,0.6559415877536484,0.6532249821111972,0.6880521432230223,0.6881525937320664,0.6883557443979996,0.6547480480508426,0.6562236898483488,0.6533665445364691,4.075186643697976e-25
