feature,baseline,2_ordinal_uniform,2_ordinal_quantile,2_ordinal_kmeans,2_onehot_uniform,2_onehot_quantile,2_onehot_kmeans,3_ordinal_uniform,3_ordinal_quantile,3_ordinal_kmeans,3_onehot_uniform,3_onehot_quantile,3_onehot_kmeans,4_ordinal_uniform,4_ordinal_quantile,4_ordinal_kmeans,4_onehot_uniform,4_onehot_quantile,4_onehot_kmeans,5_ordinal_uniform,5_ordinal_quantile,5_ordinal_kmeans,5_onehot_uniform,5_onehot_quantile,5_onehot_kmeans,6_ordinal_uniform,6_ordinal_quantile,6_ordinal_kmeans,6_onehot_uniform,6_onehot_quantile,6_onehot_kmeans,7_ordinal_uniform,7_ordinal_quantile,7_ordinal_kmeans,7_onehot_uniform,7_onehot_quantile,7_onehot_kmeans,8_ordinal_uniform,8_ordinal_quantile,8_ordinal_kmeans,8_onehot_uniform,8_onehot_quantile,8_onehot_kmeans,9_ordinal_uniform,9_ordinal_quantile,9_ordinal_kmeans,9_onehot_uniform,9_onehot_quantile,9_onehot_kmeans,10_ordinal_uniform,10_ordinal_quantile,10_ordinal_kmeans,10_onehot_uniform,10_onehot_quantile,10_onehot_kmeans,p_values
percent households receiving food stamps,63.6641,66.0977,66.8729,64.4558,66.0952,66.8729,64.4558,63.6965,66.0723,64.5741,63.689,65.1502,63.6937,64.2076,65.6297,64.3263,63.91,63.9492,63.1393,64.2266,65.6132,64.4483,63.509,63.7619,63.1183,64.1518,65.4894,64.4277,63.1693,63.384,63.0006,63.9383,65.4598,64.0546,62.8527,63.2038,62.6551,63.9789,65.3533,64.1798,62.9091,62.887,62.8391,64.1663,65.4071,63.9776,63.1527,63.0021,62.6804,63.7147,65.3104,64.0595,62.6376,62.9454,62.6518,0.030610793971199646
percent uninsured,68.5929,67.7127,68.9725,68.7539,67.7136,68.9725,68.7539,68.2025,68.9681,68.7614,68.0463,68.6131,67.9275,68.4047,68.964,68.7356,67.6901,68.4968,67.744,68.5654,68.9515,68.7519,67.4619,68.3646,67.525,68.6337,68.9651,68.7553,67.4083,68.2012,67.2338,68.5637,68.9526,68.7601,67.3277,68.0936,67.3225,68.594,68.9596,68.7205,67.222,68.0618,67.3275,68.6159,68.9549,68.7039,67.3828,67.9171,67.2914,68.5853,68.9564,68.6879,67.2376,67.6471,67.2789,4.3132402383126417e-07
household language not english,59.9645,65.813,62.7119,63.2112,65.8123,62.7118,63.211,63.7032,61.4167,61.5674,63.6564,61.3453,61.5779,62.4323,60.9621,60.6822,62.2101,60.7036,60.7161,61.7057,60.5056,60.3122,61.4713,60.0775,60.3543,61.3334,60.3726,60.0494,61.1464,59.9412,60.0354,60.7827,60.4627,59.9298,60.5148,59.9285,59.8983,60.6442,60.4469,59.8064,60.3478,59.847,59.7321,60.5589,60.3232,59.7923,60.2551,59.728,59.6954,60.2523,60.2017,59.6897,59.8639,59.5835,59.5955,0.257573892677617
non-white,54.0306,59.5534,60.2375,58.3829,59.5486,60.2375,58.3828,57.4897,58.1954,56.1318,57.5041,57.7957,55.3865,56.311,57.162,55.0262,55.9568,56.1593,54.6208,55.3732,56.7793,55.0544,55.1504,55.3375,54.4979,54.7488,56.4754,54.8245,54.5378,54.5226,54.284,54.3695,56.5151,54.5557,54.1439,54.261,54.1348,54.5354,56.4745,54.5506,54.3458,54.1265,54.1028,54.2426,56.4565,54.457,54.0627,54.07,54.0895,54.3298,56.4946,54.5631,54.1167,54.232,54.047,0.5101807710577924
black/afroamerican,61.0614,64.1229,64.9581,63.137,64.1073,64.9581,63.137,62.8113,64.403,63.0566,62.8407,64.2784,62.0207,62.5715,64.0592,62.2569,62.4965,63.8242,61.6644,62.4109,63.663,62.0333,62.1336,63.1971,61.2771,62.299,63.5234,61.7967,62.089,62.6848,60.9625,62.2629,63.338,61.6921,61.9414,62.0408,60.7822,62.0214,63.4033,61.3993,61.786,61.7141,60.649,61.8362,63.3219,61.3808,61.6012,61.4655,60.6077,61.7214,63.2502,61.3408,61.5426,61.146,60.6627,0.16598792811125662
percent female,65.5488,68.5434,66.5305,66.7956,68.5434,66.5305,66.7956,65.7366,66.0392,66.1835,65.3025,65.5723,65.2948,67.8068,65.7622,65.7306,66.8473,65.0521,64.4005,65.9417,65.6537,65.5271,65.3414,64.7371,63.9541,66.521,65.5493,65.6748,65.1052,64.4077,64.1018,66.1256,65.4078,65.5742,64.6384,64.0628,63.9505,66.0171,65.4118,65.4743,64.4783,63.9739,63.7864,65.9525,65.402,65.5038,64.34,63.8672,63.7647,65.8658,65.4137,65.4316,64.324,63.8212,63.5745,1.3096503443784914e-05
under 20,68.6347,68.9136,68.7606,68.8741,68.9137,68.7606,68.8742,68.4036,68.6651,68.8019,68.3987,68.3337,68.1506,68.8656,68.7426,68.7684,67.9958,68.2064,68.1569,68.7547,68.6786,68.6762,68.3079,67.9818,67.6883,68.7106,68.6694,68.6682,68.0104,67.9355,67.8244,68.701,68.6604,68.73,67.964,67.9568,67.8642,68.6337,68.685,68.7109,67.7745,67.9078,67.8012,68.7292,68.6795,68.7465,67.9499,67.8719,67.7432,68.7085,68.6641,68.7135,67.894,67.8243,67.7329,0.00015592949766668647
20 to 34,60.3013,68.3127,60.8791,63.0236,68.3083,60.879,63.0237,65.8935,60.2883,59.9258,65.8725,60.0954,59.9312,62.3735,59.7467,59.8995,62.2922,59.2105,59.877,60.3598,60.009,60.1151,60.2773,59.3318,59.8232,61.9436,59.6667,60.1579,61.8052,58.9616,59.5505,63.6529,59.5186,59.9583,63.1392,58.6368,59.3007,62.9969,59.5854,59.9334,62.0564,58.6829,59.1318,61.7906,59.6089,59.7336,60.5628,58.7589,58.9366,60.826,59.6921,59.6987,59.6418,58.7453,58.8537,0.003989477132632456
35 to 49,68.958,68.964,68.8442,68.8315,68.964,68.8442,68.8316,68.9859,68.8405,68.8846,68.7202,68.8656,68.8598,68.9733,68.8542,68.9168,68.8262,68.8283,68.7956,68.9352,68.8381,68.9084,68.6799,68.8405,68.6149,68.9743,68.8666,68.9278,68.7359,68.8475,68.5861,68.9573,68.856,68.9337,68.4648,68.8039,68.5341,68.9705,68.8589,68.9293,68.6596,68.8684,68.5907,68.9673,68.8606,68.9297,68.6314,68.8625,68.6011,68.9627,68.8646,68.924,68.5822,68.8474,68.6028,0.0005734285390565308
50 to 64,65.8628,65.9628,66.1536,65.8701,65.9631,66.1536,65.8701,68.3646,65.6009,65.8134,68.3343,65.4177,65.608,66.3118,65.6094,65.8336,66.0147,65.3279,65.4767,66.784,65.5281,65.6897,66.591,65.1678,65.3103,66.4408,65.4172,65.7379,65.9499,65.0554,65.2773,66.24,65.4884,65.6703,65.7648,65.1059,65.245,66.2787,65.509,65.7503,65.7117,65.1692,65.176,65.9751,65.3512,65.6403,65.3367,64.9957,65.1697,66.1597,65.4487,65.6534,65.5418,65.1029,65.202,0.01748623147276542
