district,percent households receiving food stamps,state,percent uninsured,household language not english,non-white,black/afroamerican,percent female,under 20,20 to 34,35 to 49,50 to 64,65 and over,median age,monthly housing costs - $499 or lower,monthly housing costs - $500 - 999,monthly housing costs - $1000 1999,monthly housing costs - $2000 or higher,monthly housing costs - median,percent owner-occupied housing units,average family size,native,foreign born,percent of tot. population in poverty,"management, business, science, and arts occupations",service occupations,sales and office occupations,blue collar occupations,earnings $1 - $24'999,earnings $25'000 - 49'999,earnings $50'000 - 74'999,earnings $75'000 or more,median earnings,less than highschool,highschool,college or associate,bachelor or higher,democrat,republican,other,year,target
1,14.1,alaska,18.3,15.4,0.3694632908599481,0.0887528269623255,0.4755,23.0,31.7,15.6,19.1,10.4,31.8,9.6,26.9,46.3,14.7,1165.0,42.3,3.34,0.9144,0.0856,15.3,0.2823,0.236,0.281,0.2008,0.1792,0.4074,0.2382,0.1752,30518,0.1055,0.3204,0.383,0.1911,1.0,0.0,0.0,2016,1
2,7.2,alaska,8.1,15.0,0.2595934340689205,0.063050331557778,0.4379,33.2,38.7,14.1,8.9,5.199999999999999,25.2,4.5,15.4,40.6,35.0,1674.0,36.9,3.43,0.9345,0.0655,6.4,0.3377,0.2091,0.2682,0.185,0.2422,0.3664,0.2042,0.1872,31519,0.05,0.3044,0.4334,0.2122,1153.0,3268.0,0.0,2016,0
3,5.4,alaska,11.0,6.4,0.1784822898412192,0.0223567521639849,0.4623,31.5,22.9,20.2,18.8,6.6,31.7,7.199999999999999,17.6,43.7,30.9,1680.0,74.4,3.48,0.9707,0.0293,7.4,0.3624,0.1202,0.2143,0.3031,0.103,0.32,0.327,0.25,38923,0.0589,0.2771,0.4483,0.2158,537.0,4291.0,2270.0,2016,0
4,4.7,alaska,8.2,6.5,0.1020987849139971,0.0024196517805481,0.4416,23.0,27.2,18.0,21.6,10.1,34.9,9.2,25.200000000000003,40.2,22.5,1328.0,76.4,3.19,0.9857,0.0143,5.1,0.4297,0.1777,0.1743,0.2184,0.09,0.256,0.24,0.414,45965,0.0462,0.1403,0.3673,0.4461,1.0,0.0,0.0,2016,1
5,4.0,alaska,14.1,10.0,0.2870739265161576,0.040891987605135,0.4618,26.5,25.2,21.2,19.2,8.0,33.7,10.0,25.0,44.7,20.0,1242.0,64.7,3.46,0.9405,0.0595,5.9,0.4315,0.1362,0.2408,0.1915,0.087,0.33,0.22,0.363,36468,0.0534,0.1915,0.4128,0.3423,3812.0,3384.0,0.0,2016,1
6,12.1,alaska,19.8,12.7,0.337713046172916,0.0144406569569259,0.4397,28.0,24.5,18.1,20.8,8.5,33.0,26.0,21.0,32.2,15.0,1006.0,64.5,3.33,0.9517,0.0483,13.0,0.3453,0.2001,0.1413,0.3133,0.167,0.343,0.28,0.21,32357,0.091,0.2814,0.3915,0.2361,2327.0,5126.0,0.0,2016,0
7,13.8,alaska,15.6,8.1,0.1889276415974849,0.0153755464950631,0.4831,29.1,22.1,17.5,20.9,10.4,33.8,12.6,19.6,50.1,15.6,1266.0,65.4,3.67,0.9552,0.0448,11.4,0.3157,0.1905,0.2214,0.2724,0.1431,0.3473,0.2432,0.2663,34188,0.0943,0.3384,0.4172,0.1502,1573.0,5293.0,0.0,2016,0
8,9.5,alaska,21.4,8.5,0.1471993280487164,0.0016273820148039,0.4577,29.1,22.0,20.4,20.200000000000003,8.3,34.3,15.2,22.0,47.2,12.9,1284.0,76.8,3.69,0.9628,0.0372,9.5,0.2769,0.1636,0.1974,0.3622,0.1251,0.2803,0.2983,0.2963,40538,0.1168,0.3731,0.3864,0.1237,1268.0,5753.0,0.0,2016,0
9,7.6,alaska,15.2,12.7,0.1395803891727361,0.0092944885313621,0.4273,27.9,19.3,20.4,22.1,10.4,36.7,21.700000000000003,24.0,36.1,14.8,1071.0,77.9,3.72,0.9343,0.0657,7.8,0.3177,0.1916,0.2075,0.2832,0.1373,0.2415,0.2715,0.3497,36941,0.0815,0.3158,0.3747,0.228,0.0,4758.0,2816.0,2016,0
10,11.6,alaska,22.0,7.6,0.1586171042370678,0.0039511307512347,0.4654,30.4,19.3,19.700000000000003,21.0,9.7,35.2,19.6,19.5,44.6,13.4,1161.0,79.7,3.74,0.9737,0.0263,11.1,0.3179,0.1685,0.2007,0.3129,0.1459,0.2887,0.2757,0.2897,33636,0.0977,0.3487,0.3693,0.1842,2021.0,5901.0,0.0,2016,0
