district,percent households receiving food stamps,state,household language not english,percent uninsured,non-white,black/afroamerican,percent female,under 20,20 to 34,35 to 49,50 to 64,65 and over,median age,monthly housing costs - $499 or lower,monthly housing costs - $500 - 999,monthly housing costs - $1000 1999,monthly housing costs - $2000 or higher,monthly housing costs - median,percent owner-occupied housing units,average family size,native,foreign born,percent of tot. population in poverty,earnings $1 - $24'999,earnings $25'000 - 49'999,earnings $50'000 - 74'999,earnings $75'000 or more,median earnings,"management, business, science, and arts occupations",service occupations,sales and office occupations,blue collar occupations,less than highschool,highschool,college or associate,bachelor or higher,office,year,target
1,13.5,alaska,13.4,9.7,0.3375632969312427,0.0509425904459764,0.4693,22.88,29.77,15.23,15.83,16.3,32.9,13.0,19.79,52.22,15.0,1205.0,47.4,2.94,0.9395,0.0605,10.1,0.1348,0.394,0.2271,0.2441,35647,0.2887,0.183,0.2563,0.2719,0.0818,0.3062,0.3811,0.2309,state house,2020,0
2,5.5,alaska,13.7,7.6,0.3052386873547061,0.1120181651078553,0.3915,30.45,41.6,13.69,10.26,4.01,24.8,4.07,16.76,50.16,29.0,1514.0,30.3,3.25,0.913,0.087,8.2,0.2156,0.3546,0.2046,0.2252,32057,0.3461,0.1976,0.2242,0.2321,0.0373,0.3659,0.4154,0.1814,state house,2020,0
3,1.9,alaska,5.8,10.2,0.2055238792697599,0.0388659308468902,0.4584,29.95,24.16,21.54,15.73,8.62,31.5,8.14,16.29,50.76,24.81,1540.0,75.3,3.33,0.9621,0.0379,5.5,0.0983,0.2734,0.3367,0.2916,47045,0.3435,0.1598,0.2203,0.2764,0.0817,0.2525,0.4291,0.2367,state house,2020,0
4,5.5,alaska,4.9,8.1,0.1506715771230502,0.0057409012131715,0.484,24.99,19.05,17.24,23.55,15.16,39.0,12.68,29.11,36.72,21.49,1239.0,77.7,3.05,0.9551,0.0449,4.1,0.077,0.2266,0.2342,0.4621,47263,0.4352,0.1808,0.1744,0.2096,0.0491,0.205,0.3406,0.4053,state house,2020,1
5,3.6,alaska,14.0,11.8,0.3323845104667022,0.0445353733024965,0.4534,25.22,27.15,20.11,16.69,10.82,34.0,10.2,28.03,40.62,21.15,1294.0,59.7,3.06,0.9234,0.0766,5.8,0.078,0.2609,0.2796,0.3815,41393,0.4395,0.1769,0.1851,0.1985,0.0403,0.2231,0.4156,0.321,state house,2020,1
6,9.0,alaska,8.9,12.6,0.3426546742981738,0.0101935132188607,0.4383,26.27,25.37,18.46,19.41,10.49,33.7,28.56,21.86,29.55,20.03,987.0,65.4,3.28,0.9479,0.0521,11.4,0.1928,0.3546,0.1976,0.255,32075,0.3192,0.1998,0.2086,0.2724,0.0672,0.3081,0.3718,0.2529,state house,2020,0
7,17.2,alaska,7.6,16.8,0.1890371533228676,0.0123844409558695,0.4894,27.01,20.91,18.94,19.17,13.96,35.9,10.46,23.38,48.57,17.59,1281.0,63.5,3.89,0.9452,0.0548,13.1,0.1422,0.3187,0.2398,0.2992,37729,0.3129,0.1998,0.2277,0.2596,0.0647,0.3698,0.3772,0.1882,state house,2020,0
8,8.3,alaska,4.9,14.3,0.1575609756097561,0.0068292682926829,0.4554,28.2,21.62,19.69,19.82,10.67,35.2,15.3,19.04,44.33,21.32,1410.0,81.5,3.88,0.9691,0.0309,12.0,0.1075,0.2443,0.2974,0.3507,41975,0.3068,0.195,0.1828,0.3155,0.0858,0.3877,0.3692,0.1573,state house,2020,0
9,6.1,alaska,9.3,15.3,0.1815814147307011,0.0167204917178872,0.4521,27.28,17.83,20.06,21.57,13.26,38.2,21.34,23.44,38.14,17.09,1134.0,79.7,3.52,0.9476,0.0524,7.7,0.0923,0.2404,0.2669,0.4005,42906,0.366,0.1911,0.1407,0.3022,0.0779,0.2828,0.3882,0.2512,state house,2020,0
10,11.0,alaska,7.3,16.3,0.1597392013039934,0.0046502708662927,0.4575,29.6,19.44,19.16,20.72,11.07,35.5,19.38,22.01,39.91,18.7,1236.0,82.0,3.91,0.9549,0.0451,10.3,0.1429,0.2924,0.2682,0.2965,35590,0.3088,0.1669,0.1826,0.3417,0.0953,0.3715,0.369,0.1642,state house,2020,0
