district,democrat,republican,other,state,year,target
1,1.0,0.0,0.0,alaska,2016,1
10,2021.0,5901.0,0.0,alaska,2016,0
11,0.0,5752.0,2681.0,alaska,2016,0
12,2061.0,5597.0,949.0,alaska,2016,0
13,0.0,1.0,0.0,alaska,2016,0
14,0.0,5733.0,3882.0,alaska,2016,0
15,1344.0,2834.0,0.0,alaska,2016,0
16,3367.0,2740.0,410.0,alaska,2016,1
17,1.0,0.0,0.0,alaska,2016,1
18,3490.0,2760.0,0.0,alaska,2016,1
19,1.0,0.0,0.0,alaska,2016,1
2,1153.0,3268.0,0.0,alaska,2016,0
20,1.0,0.0,0.0,alaska,2016,1
21,4145.0,3767.0,0.0,alaska,2016,1
22,0.0,3375.0,730.0,alaska,2016,0
23,3443.0,2672.0,0.0,alaska,2016,1
24,3518.0,5019.0,0.0,alaska,2016,0
25,3592.0,3685.0,0.0,alaska,2016,0
26,2873.0,5141.0,0.0,alaska,2016,0
27,3929.0,4086.0,0.0,alaska,2016,0
28,4606.0,5903.0,0.0,alaska,2016,0
29,0.0,1.0,0.0,alaska,2016,0
3,537.0,4291.0,2270.0,alaska,2016,0
30,1868.0,5346.0,473.0,alaska,2016,0
31,0.0,1.0,0.0,alaska,2016,0
32,1128.0,2981.0,2777.0,alaska,2016,0
33,1.0,0.0,0.0,alaska,2016,1
34,4527.0,4332.0,0.0,alaska,2016,1
35,5068.0,3486.0,0.0,alaska,2016,1
36,0.0,3319.0,396.0,alaska,2016,0
37,2724.0,1868.0,0.0,alaska,2016,1
38,1.0,0.0,0.0,alaska,2016,1
39,1.0,0.0,0.0,alaska,2016,1
4,1.0,0.0,0.0,alaska,2016,1
40,1.0,0.0,0.0,alaska,2016,1
5,3812.0,3384.0,0.0,alaska,2016,1
6,2327.0,5126.0,0.0,alaska,2016,0
7,1573.0,5293.0,0.0,alaska,2016,0
8,1268.0,5753.0,0.0,alaska,2016,0
9,0.0,4758.0,2816.0,alaska,2016,0
1,0.0,1.0,0.0,arkansas,2016,0
10,4024.0,7043.0,0.0,arkansas,2016,0
100,0.0,1.0,0.0,arkansas,2016,0
11,1.0,0.0,0.0,arkansas,2016,1
12,1.0,0.0,0.0,arkansas,2016,1
13,1.0,0.0,0.0,arkansas,2016,1
14,5391.0,5867.0,0.0,arkansas,2016,0
15,0.0,9816.0,2002.0,arkansas,2016,0
16,1.0,0.0,0.0,arkansas,2016,1
17,1.0,0.0,0.0,arkansas,2016,1
18,5088.0,6499.0,0.0,arkansas,2016,0
19,0.0,1.0,0.0,arkansas,2016,0
2,0.0,1.0,0.0,arkansas,2016,0
20,0.0,8936.0,1688.0,arkansas,2016,0
21,0.0,1.0,0.0,arkansas,2016,0
22,0.0,1.0,0.0,arkansas,2016,0
23,0.0,1.0,0.0,arkansas,2016,0
24,0.0,1.0,0.0,arkansas,2016,0
25,4208.0,5973.0,0.0,arkansas,2016,0
26,0.0,1.0,0.0,arkansas,2016,0
27,3748.0,8711.0,0.0,arkansas,2016,0
28,0.0,1.0,0.0,arkansas,2016,0
29,6844.0,0.0,1078.0,arkansas,2016,1
3,3872.0,5311.0,157.0,arkansas,2016,0
30,1.0,0.0,0.0,arkansas,2016,1
31,0.0,1.0,0.0,arkansas,2016,0
32,6559.0,8435.0,0.0,arkansas,2016,0
33,9472.0,0.0,2683.0,arkansas,2016,1
34,1.0,0.0,0.0,arkansas,2016,1
35,1.0,0.0,0.0,arkansas,2016,1
36,1.0,0.0,0.0,arkansas,2016,1
37,1.0,0.0,0.0,arkansas,2016,1
38,6466.0,7019.0,0.0,arkansas,2016,0
39,6223.0,7318.0,0.0,arkansas,2016,0
4,2485.0,6805.0,0.0,arkansas,2016,0
40,0.0,1.0,0.0,arkansas,2016,0
41,0.0,1.0,0.0,arkansas,2016,0
42,5100.0,3622.0,0.0,arkansas,2016,1
43,0.0,1.0,0.0,arkansas,2016,0
44,0.0,9243.0,2070.0,arkansas,2016,0
45,0.0,1.0,0.0,arkansas,2016,0
46,0.0,1.0,0.0,arkansas,2016,0
47,1.0,0.0,0.0,arkansas,2016,1
48,1.0,0.0,0.0,arkansas,2016,1
49,4411.0,5539.0,0.0,arkansas,2016,0
5,1.0,0.0,0.0,arkansas,2016,1
50,1.0,0.0,0.0,arkansas,2016,1
51,1.0,0.0,0.0,arkansas,2016,1
52,0.0,1.0,0.0,arkansas,2016,0
53,0.0,1.0,0.0,arkansas,2016,0
