state,district,office,year,target
alaska,1,state house,2020,0
alaska,10,state house,2020,0
alaska,11,state house,2020,0
alaska,12,state house,2020,0
alaska,13,state house,2020,0
alaska,14,state house,2020,0
alaska,15,state house,2020,0
alaska,16,state house,2020,1
alaska,17,state house,2020,1
alaska,18,state house,2020,1
alaska,19,state house,2020,1
alaska,2,state house,2020,0
alaska,20,state house,2020,1
alaska,21,state house,2020,1
alaska,22,state house,2020,0
alaska,23,state house,2020,1
alaska,24,state house,2020,0
alaska,25,state house,2020,1
alaska,26,state house,2020,0
alaska,27,state house,2020,1
alaska,28,state house,2020,0
alaska,29,state house,2020,0
alaska,3,state house,2020,0
alaska,30,state house,2020,0
alaska,31,state house,2020,0
alaska,32,state house,2020,0
alaska,33,state house,2020,1
alaska,34,state house,2020,1
alaska,35,state house,2020,1
alaska,36,state house,2020,2
alaska,37,state house,2020,1
alaska,38,state house,2020,1
alaska,39,state house,2020,1
alaska,4,state house,2020,1
alaska,40,state house,2020,2
alaska,5,state house,2020,1
alaska,6,state house,2020,0
alaska,7,state house,2020,0
alaska,8,state house,2020,0
alaska,9,state house,2020,0
arkansas,1,state house,2020,0
arkansas,10,state house,2020,0
arkansas,100,state house,2020,0
arkansas,11,state house,2020,0
arkansas,12,state house,2020,0
arkansas,13,state house,2020,0
arkansas,14,state house,2020,0
arkansas,15,state house,2020,0
arkansas,16,state house,2020,1
arkansas,17,state house,2020,1
arkansas,18,state house,2020,0
arkansas,19,state house,2020,0
arkansas,2,state house,2020,0
arkansas,20,state house,2020,0
arkansas,21,state house,2020,0
arkansas,22,state house,2020,0
arkansas,23,state house,2020,0
arkansas,24,state house,2020,0
arkansas,25,state house,2020,0
arkansas,26,state house,2020,0
arkansas,27,state house,2020,0
arkansas,28,state house,2020,0
arkansas,29,state house,2020,1
arkansas,3,state house,2020,0
arkansas,30,state house,2020,1
arkansas,31,state house,2020,0
arkansas,32,state house,2020,1
arkansas,33,state house,2020,1
arkansas,34,state house,2020,1
arkansas,35,state house,2020,1
arkansas,36,state house,2020,1
arkansas,37,state house,2020,1
arkansas,38,state house,2020,0
arkansas,39,state house,2020,0
arkansas,4,state house,2020,0
arkansas,40,state house,2020,0
arkansas,41,state house,2020,0
arkansas,42,state house,2020,1
arkansas,43,state house,2020,0
arkansas,44,state house,2020,0
arkansas,45,state house,2020,0
arkansas,46,state house,2020,0
arkansas,47,state house,2020,0
arkansas,48,state house,2020,1
arkansas,49,state house,2020,0
arkansas,5,state house,2020,1
arkansas,50,state house,2020,1
arkansas,51,state house,2020,1
arkansas,52,state house,2020,0
arkansas,53,state house,2020,0
arkansas,54,state house,2020,0
arkansas,55,state house,2020,1
arkansas,56,state house,2020,0
arkansas,57,state house,2020,0
arkansas,58,state house,2020,0
arkansas,59,state house,2020,0
arkansas,6,state house,2020,0
arkansas,60,state house,2020,0
arkansas,61,state house,2020,0
arkansas,62,state house,2020,0
arkansas,63,state house,2020,0
arkansas,64,state house,2020,0
arkansas,65,state house,2020,0
arkansas,66,state house,2020,0
arkansas,67,state house,2020,0
arkansas,68,state house,2020,0
arkansas,69,state house,2020,0
arkansas,7,state house,2020,0
arkansas,70,state house,2020,0
arkansas,71,state house,2020,0
arkansas,72,state house,2020,1
arkansas,73,state house,2020,0
arkansas,74,state house,2020,0
arkansas,75,state house,2020,0
arkansas,76,state house,2020,0
arkansas,77,state house,2020,0
arkansas,78,state house,2020,1
arkansas,79,state house,2020,0
arkansas,8,state house,2020,0
arkansas,80,state house,2020,0
arkansas,81,state house,2020,0
arkansas,82,state house,2020,0
arkansas,83,state house,2020,0
arkansas,84,state house,2020,1
arkansas,85,state house,2020,1
arkansas,86,state house,2020,1
arkansas,87,state house,2020,0
arkansas,88,state house,2020,0
arkansas,89,state house,2020,1
arkansas,9,state house,2020,0
arkansas,90,state house,2020,0
arkansas,91,state house,2020,0
arkansas,92,state house,2020,0
arkansas,93,state house,2020,0
arkansas,94,state house,2020,0
arkansas,95,state house,2020,0
arkansas,96,state house,2020,0
arkansas,97,state house,2020,0
arkansas,98,state house,2020,0
arkansas,99,state house,2020,0
california,1,state house,2020,0
california,10,state house,2020,1
california,11,state house,2020,1
california,12,state house,2020,0
california,13,state house,2020,1
california,14,state house,2020,1
california,15,state house,2020,1
california,16,state house,2020,1
california,17,state house,2020,1
california,18,state house,2020,1
california,19,state house,2020,1
california,2,state house,2020,1
california,20,state house,2020,1
california,21,state house,2020,1
california,22,state house,2020,1
california,23,state house,2020,0
california,24,state house,2020,1
california,25,state house,2020,1
california,26,state house,2020,0
california,27,state house,2020,1
california,28,state house,2020,1
california,29,state house,2020,1
california,3,state house,2020,0
california,30,state house,2020,1
california,31,state house,2020,1
california,32,state house,2020,1
california,33,state house,2020,0
california,34,state house,2020,0
california,35,state house,2020,0
california,36,state house,2020,0
california,37,state house,2020,1
california,38,state house,2020,0
california,39,state house,2020,1
california,4,state house,2020,1
california,40,state house,2020,1
california,41,state house,2020,1
california,42,state house,2020,2
california,43,state house,2020,1
california,44,state house,2020,1
california,45,state house,2020,1
california,46,state house,2020,1
california,47,state house,2020,1
california,48,state house,2020,1
